N	3gram	Losev_Dial	Myslijsy
1	в том что	12	47
2	не может быть	4	19
3	тем не менее	3	18
4	по крайней мере	11	17
5	только тогда когда	4	17
6	и т д	28	15
7	сам по себе	8	14
8	само по себе	7	14
9	то же время	8	13
10	в то же	7	13
11	не в том	2	13
12	в том смысле	4	13
13	во всяком случае	3	12
14	с другой стороны	7	12
15	более или менее	5	12
16	до сих пор	4	12
17	и в этом	4	12
18	и т п	3	11
19	сами по себе	4	11
20	то что я	2	10
21	в то время	2	10
22	с одной стороны	3	10
23	то и другое	3	9
24	о том что	6	9
25	на то что	4	9
26	в таком случае	2	9
27	на самом деле	3	8
28	как бы ни	2	8
29	только потому что	4	8
30	и то же	8	7
31	можно сказать что	6	7
32	одно и то	8	7
33	не только в	2	7
34	с точки зрения	18	7
35	сама по себе	12	7
36	в этом смысле	4	7
37	не было бы	2	6
38	то же самое	3	6
39	может быть только	2	6
40	с самого начала	2	6
41	и может быть	3	6
42	в одно время	2	6
43	по себе не	7	5
44	по себе а	2	5
45	к тому что	3	5
46	не есть ни	7	4
47	и то и	3	4
48	или по крайней	2	4
49	субъекта и объекта	4	4
50	том смысле что	3	4
51	не что иное	4	4
52	в этом отношении	2	4
53	то время как	2	4
54	что иное как	4	4
55	с этой стороны	2	3
56	ничего общего с	3	3
57	что он не	2	3
58	потому что и	2	3
59	можно было бы	4	3
60	на первый взгляд	2	3
61	одной стороны и	3	3
62	точно так же	3	3
63	потому что он	5	3
64	но это не	2	3
65	в связи с	3	3
66	это не значит	3	3
67	так или иначе	3	3
68	не есть только	4	3
69	а потому что	2	3
70	когда мы говорим	2	3
71	по себе и	3	3
72	и говорить о	2	2
73	идеи и образа	2	2
74	есть поэтическое произведение	2	2
75	друг к другу	2	2
76	мы говорим что	2	2
77	это значит что	16	2
78	одна и та	5	2
79	с нею в	2	2
80	того и другого	2	2
81	нельзя сказать что	3	2
82	а потом уже	4	2
83	можем сказать что	3	2
84	в себе самом	2	2
85	только то что	6	2
86	и та же	5	2
87	в нем есть	6	2
88	не потому что	5	2
89	мы говорим не	2	2
90	тогда когда оно	2	2
91	того что она	2	2
92	не нуждается в	6	2
93	и не только	4	2
94	может и не	2	2
95	но все же	2	2
96	что в нем	4	2
97	и стало быть	5	2
98	так как и	2	2
