N	3gram	Propp_Russ	slovoVRo
1	с точки зрения	3	15
2	в отличие от	4	14
3	в большинстве случаев	2	11
4	и т д	12	10
5	в этом случае	9	9
6	но все же	2	6
7	в том что	27	5
8	может быть и	3	5
9	как мы уже	2	5
10	для того чтобы	6	4
11	в свою очередь	2	4
12	к тому что	4	3
13	в данном случае	7	3
14	в связи с	4	3
15	не только на	3	2
16	мы не можем	5	2
17	и связанные с	2	2
18	же как и	3	2
19	о том что	6	2
20	иметь в виду	2	2
21	можно было бы	2	2
22	это не значит	2	2
23	в то время	3	2
24	и в том	2	2
25	в других случаях	2	2
26	и в этом	2	2
27	тем не менее	3	2
28	о том же	4	2
29	привело к тому	2	2
