N	3gram	Trubetskoy	Psycholo
1	в том что	3	78
2	для того чтобы	5	70
3	на то что	2	55
4	о том что	4	34
5	то же самое	2	31
6	с точки зрения	6	29
7	с одной стороны	7	28
8	до сих пор	5	23
9	с самого начала	2	16
10	во всяком случае	6	14
11	так же как	3	14
12	в этом отношении	2	14
13	заключает в себе	2	13
14	и в этом	2	13
15	в конце концов	3	12
16	этой точки зрения	2	12
17	то что он	2	11
18	по сравнению с	2	11
19	с этой точки	2	10
20	вместе с тем	8	10
21	точно так же	3	9
22	друг с другом	5	8
23	и таким образом	3	8
24	а с другой	5	7
25	можно сказать что	2	7
26	более или менее	5	6
27	тем не менее	3	6
28	и вместе с	4	5
29	в том виде	2	5
30	есть как бы	2	4
31	к тому же	4	4
32	таким образом в	2	4
33	то или иное	2	4
34	бы то ни	2	3
35	может быть и	2	3
36	ничего общего с	2	3
37	потому что и	2	3
38	с тем и	2	3
39	в то же	2	3
40	с тем чтобы	4	3
41	то же время	2	3
42	той или иной	2	2
43	но вместе с	2	2
44	то ни было	2	2
45	в связи с	3	2
46	по крайней мере	5	2
47	мы должны признать	2	2
48	должны признать что	2	2
49	в значительной мере	2	2
50	так или иначе	3	2
51	и для того	2	2
