N	3gram	Potebnia_M	TeoriaLi
1	в том что	18	10
2	по отношению к	13	10
3	в то же	3	8
4	то же время	3	8
5	с другой стороны	7	6
6	более или менее	6	6
7	для того чтобы	4	5
8	не может быть	11	5
9	и того же	6	4
10	одного и того	6	4
11	с точки зрения	3	3
12	с одной стороны	6	3
13	в этом смысле	4	3
14	тем не менее	10	3
15	подобно тому как	7	3
16	в связи с	2	3
17	в свою очередь	8	3
18	бы то ни	2	2
19	не только не	2	2
20	в противном случае	3	2
21	может быть названо	5	2
22	в таком случае	4	2
23	к тому что	2	2
24	с этой точки	2	2
25	и тем самым	2	2
26	как и в	3	2
27	сама по себе	4	2
28	не могут быть	5	2
