N	2gram	Bakhtin_Pr	EvropaiE
1	и в	64	37
2	в отношении	5	32
3	в пределах	24	25
4	точки зрения	31	23
5	что в	11	21
6	не только	26	18
7	с точки	21	17
8	в то	15	16
9	отношении к	5	15
10	хотя бы	4	15
11	то же	18	15
12	в своем	12	14
13	но в	14	14
14	но и	26	14
15	и не	55	14
16	же время	13	14
17	в этом	33	12
18	в том	12	11
19	в их	6	11
20	так и	8	10
21	т е	44	9
22	так же	8	9
23	в смысле	3	9
24	не может	26	9
25	в себе	11	9
26	прежде всего	16	9
27	только в	13	9
28	между тем	7	8
29	в ее	2	8
30	было бы	8	8
31	в своей	11	8
32	к тому	4	8
33	нам кажется	7	7
34	также и	3	7
35	с другой	7	7
36	как и	25	7
37	так как	9	7
38	того что	3	7
39	том что	8	6
40	во всех	4	6
41	то есть	3	6
42	и даже	5	6
43	может быть	43	6
44	и на	16	6
45	стороны и	4	6
46	с этой	2	6
47	того чтобы	2	6
48	на то	5	6
49	то что	21	6
50	как бы	33	6
51	вовсе не	12	6
52	но не	12	5
53	от этого	2	5
54	и потому	7	5
55	в россии	2	5
56	этой точки	2	5
57	в той	5	5
58	как мы	13	5
59	не в	15	5
60	же как	2	5
61	как нам	3	5
62	даже в	6	4
63	сказать что	4	4
64	вопрос о	3	4
65	не имеет	2	4
66	само по	4	4
67	можно сказать	2	4
68	то в	2	4
69	не служит	2	4
70	именно в	5	4
71	в процессе	6	4
72	в самом	17	4
73	мы не	4	4
74	в ней	2	4
75	для нас	2	4
76	по себе	16	4
77	несмотря на	7	4
78	мира в	5	4
79	в направлении	4	4
80	ни было	4	4
81	не на	7	4
82	то ни	3	4
83	бы то	3	4
84	чем в	3	4
85	никогда не	11	3
86	и от	3	3
87	и для	7	3
88	ни на	3	3
89	и только	3	3
90	в пределы	4	3
91	о том	5	3
92	идет о	5	3
93	в данном	2	3
94	вообще не	2	3
95	того же	3	3
96	в которых	4	3
97	не из	3	3
98	когда он	2	3
99	можно было	3	3
100	этом смысле	12	3
101	мира и	7	3
102	бы и	6	3
103	бы ни	3	3
104	и к	5	3
105	в результате	7	3
106	но на	3	3
107	уже и	2	3
108	от них	3	3
109	из них	3	3
110	во все	2	3
111	в них	5	3
112	всяком случае	4	3
113	на себя	4	3
114	что и	7	3
115	друг с	4	3
116	во второй	2	3
117	там где	12	3
118	и мы	2	3
119	не дает	3	3
120	по своим	4	3
121	тем что	6	3
122	этом отношении	3	3
123	потому что	8	3
124	себе не	2	3
125	в таком	3	3
126	и со	4	3
127	с другом	3	3
128	как в	7	3
129	как на	4	3
130	большинстве случаев	10	3
131	ее в	3	3
132	во всяком	7	3
133	дело в	2	3
134	известной степени	2	3
135	есть в	2	2
136	на одну	2	2
137	именно потому	2	2
138	данном случае	2	2
139	для понимания	4	2
140	и если	2	2
141	в мире	7	2
142	на этот	4	2
143	кажется что	4	2
144	в его	30	2
145	не есть	4	2
146	что это	2	2
147	мира не	2	2
148	что если	3	2
149	меньшей степени	2	2
150	к нему	11	2
151	не могут	10	2
152	как же	6	2
153	она не	10	2
154	а в	10	2
155	с этим	3	2
156	мы должны	3	2
157	с другими	8	2
158	в котором	7	2
159	какой бы	2	2
160	его на	2	2
161	заметить что	2	2
162	но как	4	2
163	пожалуй и	2	2
164	в сторону	2	2
165	далеко не	7	2
166	в своих	4	2
167	одну и	2	2
168	дело идет	6	2
169	и еще	2	2
170	в большинстве	11	2
171	и с	9	2
172	бы в	7	2
173	этот вопрос	4	2
174	в другой	4	2
175	не нужно	2	2
176	могут быть	9	2
177	по преимуществу	2	2
178	другой стороны	6	2
179	что все	2	2
180	между ними	6	2
181	в одном	20	2
182	как их	4	2
183	и как	9	2
184	что же	9	2
185	целый ряд	2	2
186	если бы	12	2
187	в этих	5	2
188	жизни и	3	2
189	еще более	2	2
190	именно к	2	2
191	как не	9	2
192	в других	2	2
193	а не	29	2
194	мы видим	3	2
195	и что	5	2
196	и во	3	2
197	и наконец	7	2
198	же в	2	2
199	точка зрения	13	2
200	но именно	3	2
201	одном из	2	2
202	подходит к	2	2
203	и все	6	2
204	или в	7	2
205	таким образом	15	2
206	а именно	2	2
207	в истории	2	2
208	он не	14	2
209	как будто	4	2
210	такой же	4	2
211	во всей	3	2
212	и эта	2	2
213	и имеет	2	2
214	ведь и	4	2
215	в этой	5	2
216	но с	4	2
217	культурной традиции	2	2
218	между собой	2	2
219	всего в	2	2
220	хотя и	5	2
221	в какой	2	2
222	должна быть	8	2
223	мира но	2	2
224	он сам	5	2
225	при условии	2	2
