N	2gram	Trubetskoy	slovoVRo
1	и в	24	92
2	то есть	2	64
3	в нем	3	59
4	может быть	17	59
5	и его	2	59
6	и не	9	51
7	не только	10	44
8	не может	18	41
9	но и	11	39
10	в этом	13	36
11	во всех	10	32
12	так и	10	30
13	точки зрения	14	30
14	в его	5	27
15	все это	13	25
16	как бы	10	24
17	то же	4	23
18	и на	6	22
19	не в	9	21
20	в сущности	2	21
21	вовсе не	2	21
22	в то	6	20
23	в процессе	2	20
24	прежде всего	3	19
25	как мы	3	19
26	как и	10	18
27	же время	2	18
28	с ним	6	18
29	все же	15	17
30	все эти	19	17
31	в истории	3	17
32	в основе	2	17
33	таким образом	34	17
34	отличие от	3	16
35	при этом	9	16
36	в них	2	16
37	но в	5	16
38	и с	5	15
39	с точки	8	15
40	только в	6	14
41	это не	3	13
42	и для	6	13
43	с другой	6	13
44	никогда не	4	12
45	и потому	3	12
46	отношение к	4	12
47	а в	3	12
48	во всяком	2	12
49	и наконец	3	12
50	еще не	6	12
51	и к	5	12
52	с ними	2	11
53	одной стороны	2	11
54	в этих	3	11
55	с одной	3	11
56	для него	2	11
57	все они	6	10
58	в своем	12	10
59	и их	5	10
60	в том	31	10
61	и все	9	10
62	она не	2	10
63	в себе	5	10
64	всех этих	4	10
65	лишь в	5	10
66	далеко не	5	10
67	может не	3	10
68	его в	5	9
69	и от	5	9
70	одним из	4	9
71	и других	3	9
72	или менее	8	9
73	к нему	2	9
74	более или	8	9
75	в их	4	9
76	этом случае	4	9
77	одна из	2	9
78	так как	7	9
79	с ее	2	9
80	но не	3	9
81	на почве	3	9
82	конечно не	3	9
83	он не	4	9
84	быть и	5	9
85	не могут	4	8
86	в ней	3	8
87	с этим	12	8
88	они могут	2	8
89	зависимости от	2	8
90	в самом	8	8
91	для нас	3	8
92	всяком случае	2	8
93	том что	20	7
94	от него	3	7
95	друг друга	2	7
96	того же	9	7
97	ту же	2	7
98	в целом	5	7
99	связи с	4	7
100	у него	5	7
101	но все	5	7
102	также и	2	7
103	жизни и	2	7
104	не было	2	7
105	в таком	4	7
106	во всем	3	7
107	мы уже	4	7
108	даже в	3	6
109	как к	5	6
110	на этом	2	6
111	точку зрения	2	6
112	что в	9	6
113	мы сказали	4	6
114	другой стороны	5	6
115	говорить о	2	6
116	и там	2	6
117	хотя бы	4	6
118	именно в	5	6
119	в свою	2	6
120	себя и	2	6
121	между тем	12	6
122	между этими	2	5
123	не знает	2	5
124	не менее	7	5
125	и проч	4	5
126	отношению к	11	5
127	каждый данный	4	5
128	а затем	2	5
129	и по	3	5
130	должен быть	2	5
131	хотя и	4	5
132	для этого	7	5
133	в данном	3	5
134	и при	6	5
135	по отношению	11	5
136	в результате	9	5
137	и может	3	5
138	для того	8	5
139	в каждый	6	5
140	должна быть	6	5
141	и более	2	5
142	они не	2	5
143	в дальнейшем	4	5
144	о том	7	5
145	той же	2	5
146	в эпохи	2	5
147	данный момент	4	5
148	и сам	2	5
149	вместе с	7	5
150	следовательно и	2	4
151	так же	8	4
152	но как	2	4
153	образом в	3	4
154	и ее	2	4
155	в другом	2	4
156	что и	7	4
157	в виду	2	4
158	что он	7	4
159	он должен	2	4
160	том же	4	4
161	свою очередь	2	4
162	в виде	4	4
163	в частности	2	4
164	того что	7	4
165	мы видели	2	4
166	до сих	15	4
167	с другом	9	4
168	все его	2	4
169	те же	2	4
170	что оно	3	4
171	тогда когда	3	4
172	того чтобы	8	4
173	из одного	2	4
174	же как	3	4
175	как сказано	4	4
176	и дальше	2	4
177	в которой	5	4
178	если бы	8	4
179	с этой	3	4
180	сих пор	15	4
181	к тому	8	4
182	друг с	9	4
183	из них	5	4
184	из этого	7	4
185	и уже	2	4
186	из него	2	4
187	лишь тогда	2	4
188	в себя	2	4
189	по существу	7	4
190	на первый	2	4
191	данном случае	3	3
192	а лишь	3	3
193	в одно	2	3
194	и где	2	3
195	в такой	4	3
196	в разных	3	3
197	дальнейшего развития	2	3
198	тому что	2	3
199	на том	2	3
200	широком смысле	2	3
201	и без	5	3
202	и социальной	2	3
203	и те	2	3
204	между собой	4	3
205	на все	5	3
206	различия между	3	3
207	и до	3	3
208	было бы	3	3
209	этого слова	2	3
210	как для	3	3
211	исторического развития	2	3
212	почти все	2	3
213	конечно в	2	3
214	и то	4	3
215	и вообще	3	3
216	к этому	5	3
217	в сознании	7	3
