N	2gram	Losev_Prob	RusskieA
1	и в	64	79
2	в том	19	64
3	том что	26	59
4	что в	21	57
5	т е	2	54
6	не только	37	41
7	а а	6	40
8	так как	16	34
9	в этом	30	33
10	как бы	18	31
11	но и	23	31
12	в и	2	30
13	в других	5	30
14	как и	7	28
15	может быть	29	28
16	и на	11	28
17	одна из	4	24
18	и т	13	23
19	о том	25	23
20	при этом	8	22
21	т д	12	21
22	это не	7	20
23	как мы	10	20
24	а в	7	20
25	из них	3	19
26	все это	11	18
27	с тем	6	17
28	потому что	24	17
29	то что	72	17
30	об этом	10	17
31	таким образом	9	17
32	вместе с	4	17
33	мы не	6	16
34	во многих	4	16
35	один из	7	15
36	или на	3	15
37	будто бы	4	15
38	у нас	31	14
39	для нас	11	14
40	не менее	26	14
41	в них	8	14
42	как это	7	14
43	тем не	25	14
44	и не	63	14
45	и с	12	14
46	и что	21	14
47	так что	12	13
48	и по	3	13
49	не может	18	13
50	еще не	18	13
51	как в	5	13
52	уже не	9	13
53	в которых	4	13
54	в виде	20	12
55	между собой	5	12
56	этом случае	6	12
57	мы имеем	3	12
58	тем что	10	12
59	что на	4	11
60	но это	11	11
61	мы увидим	3	11
62	не имеет	8	11
63	далеко не	9	11
64	его в	9	10
65	так и	17	10
66	по существу	2	10
67	так например	2	10
68	между тем	3	10
69	все же	7	10
70	что и	2	10
71	а также	6	10
72	представляет собой	2	10
73	или в	5	10
74	данном случае	10	9
75	о чем	11	9
76	но в	19	9
77	и все	9	9
78	что они	5	9
79	того как	3	9
80	то же	10	9
81	но не	13	9
82	видно что	2	9
83	так же	12	8
84	после этого	4	8
85	того что	18	8
86	одно из	2	8
87	в данном	16	8
88	на себя	2	8
89	того чтобы	10	8
90	их в	6	8
91	же в	5	8
92	связи с	8	8
93	представление о	6	8
94	что это	4	8
95	не все	4	8
96	во всех	9	8
97	подобно тому	2	8
98	ее в	2	8
99	для того	10	8
100	в этих	7	8
101	тому как	3	8
102	в своем	7	7
103	мы должны	5	7
104	ничего не	20	7
105	в настоящее	17	7
106	не в	6	7
107	к нему	5	7
108	настоящее время	17	7
109	по этому	6	7
110	было бы	16	7
111	для этого	5	7
112	из этих	5	7
113	в это	2	7
114	и как	10	7
115	еще в	2	7
116	не можем	2	7
117	только в	19	7
118	как будто	6	7
119	а не	21	7
120	с собой	3	6
121	в этой	14	6
122	как знак	4	6
123	не будем	5	6
124	должны были	3	6
125	и их	4	6
126	в их	7	6
127	только на	13	6
128	в в	2	6
129	тому что	6	6
130	она не	5	6
131	к тому	5	6
132	что этот	2	6
133	в нем	14	6
134	этому поводу	5	6
135	же как	2	6
136	все эти	15	6
137	в качестве	3	6
138	но она	3	6
139	что она	8	6
140	и о	11	6
141	что здесь	4	6
142	и пр	4	6
143	и более	4	6
144	на нее	2	6
145	в разные	3	6
146	в таком	18	6
147	на самом	9	5
148	вопрос о	4	5
149	петра i	2	5
150	и потому	3	5
151	в тех	2	5
152	но если	6	5
153	тогда когда	4	5
154	что он	11	5
155	нет никаких	2	5
156	в москве	2	5
157	прежде всего	17	5
158	и др	2	5
159	эта теория	4	5
160	с этим	7	5
161	в то	7	5
162	или вообще	6	5
163	для них	5	5
164	в связи	7	5
165	не было	7	5
166	например в	2	5
167	тот же	4	5
168	в его	12	5
169	по поводу	6	5
170	то и	7	5
171	можно было	8	5
172	только для	3	5
173	ничего общего	14	5
174	в целях	2	5
175	и для	10	5
176	с целью	4	5
177	с другой	8	5
178	г в	2	5
179	входит в	4	5
180	и к	2	5
181	отнюдь не	15	5
182	то на	4	5
183	или даже	3	5
184	с ним	4	5
185	мы уже	8	5
186	этих случаях	4	5
187	в таких	5	4
188	которые в	4	4
189	если в	2	4
190	и ее	9	4
191	иное как	5	4
192	не был	4	4
193	но есть	2	4
194	не что	5	4
195	можно будет	3	4
196	и при	4	4
197	всякого рода	3	4
198	нас не	5	4
199	только тогда	4	4
200	или по	5	4
201	могут быть	2	4
202	и до	3	4
203	и тогда	2	4
204	не на	4	4
205	во всей	4	4
206	и другим	2	4
207	во всяком	18	4
208	в основе	4	4
209	и от	3	4
210	по своему	14	4
211	несмотря на	6	4
212	и здесь	8	4
213	не просто	30	4
214	кроме того	7	4
215	и многие	2	4
216	что иное	5	4
217	но все	5	4
218	что для	4	4
219	именно в	5	4
220	в котором	5	4
221	в своих	3	4
222	как они	3	4
223	этот вопрос	2	4
224	уже в	6	4
225	многие другие	2	4
226	всяком случае	11	4
227	других случаях	2	4
228	то время	2	4
229	тем и	3	4
230	на этой	4	4
231	но он	3	4
232	никогда не	8	3
233	чтобы не	3	3
234	всех этих	11	3
235	но можно	2	3
236	том как	2	3
237	и поэтому	2	3
238	каждый из	3	3
239	то есть	61	3
240	сразу же	2	3
241	не во	3	3
242	есть и	4	3
243	в виду	10	3
244	только по	2	3
245	или другие	2	3
246	тут же	3	3
247	как он	4	3
248	в одно	5	3
249	а наоборот	3	3
250	мы здесь	4	3
251	или менее	7	3
252	и другое	3	3
253	в отдельности	4	3
254	что все	9	3
255	относятся к	3	3
256	и это	13	3
257	более или	7	3
258	тех пор	4	3
259	точки зрения	5	3
260	с которой	3	3
261	и те	2	3
262	в области	8	3
263	совсем не	9	3
264	в ее	3	3
265	что с	2	3
266	и во	4	3
267	в своей	8	3
268	содержится в	2	3
269	он был	2	3
270	значение и	7	3
271	в другое	2	3
272	нет и	5	3
273	из самых	3	3
274	место в	2	3
275	хотя и	8	3
276	и то	15	3
277	или не	5	3
278	независимо от	2	3
279	с другими	6	3
280	это в	3	3
281	человека а	2	3
282	и еще	3	3
283	в которой	2	3
284	которые не	5	3
285	от этого	2	3
286	до тех	4	3
287	в эту	2	3
288	к другу	2	3
289	если бы	8	3
290	на первый	5	3
291	для этой	2	3
292	увидим ниже	2	3
293	можно говорить	3	3
294	а именно	16	3
295	между собою	9	3
296	сих пор	6	3
297	с одной	4	3
298	есть в	9	3
299	на этот	3	3
300	думать что	2	3
301	на то	12	3
302	как символ	6	3
303	в советской	3	3
304	все что	2	3
305	из которых	2	3
306	находится в	2	3
307	друг к	2	3
308	с точки	3	3
309	сводится к	3	3
310	говорит о	4	3
311	здесь не	9	3
312	только как	2	3
313	и его	3	3
314	по его	3	3
315	же и	4	3
316	как на	3	3
317	как только	3	3
318	по содержанию	3	3
319	быть и	5	3
320	из других	2	3
321	до сих	6	3
322	время и	2	2
323	и притом	6	2
324	в область	3	2
325	что их	4	2
326	следовательно и	3	2
327	ясно и	2	2
328	имеет и	3	2
329	всем этом	2	2
330	и следовательно	6	2
331	например на	2	2
332	не имеют	6	2
333	в себе	16	2
334	на эту	2	2
335	по тому	2	2
336	собой и	3	2
337	и вообще	13	2
338	перед нами	7	2
339	само собой	3	2
340	но даже	3	2
341	не как	2	2
342	в силу	2	2
343	в конце	13	2
344	и наконец	3	2
345	что между	2	2
346	можно судить	2	2
347	одним из	2	2
348	подобного рода	8	2
349	и тем	16	2
350	он должен	2	2
351	и всегда	3	2
352	в частности	5	2
353	в момент	2	2
354	самом деле	10	2
355	дела и	2	2
356	его от	4	2
357	в ряд	2	2
358	может иметь	3	2
359	для такого	2	2
360	в него	3	2
361	тот кто	2	2
362	с нашим	2	2
363	всем этим	3	2
364	но мы	3	2
365	только с	3	2
366	к этой	2	2
367	мы наблюдаем	2	2
368	ни одна	2	2
369	и без	6	2
370	одной стороны	4	2
371	между прочим	3	2
372	для чего	2	2
373	на некоторые	2	2
374	очень много	3	2
375	с нею	2	2
376	не всякий	5	2
377	здесь в	4	2
378	и свои	3	2
379	мы видим	2	2
380	иметь в	5	2
381	у древних	3	2
382	случае не	6	2
383	в дальнейшем	5	2
384	что эти	2	2
385	можно сказать	9	2
386	значение в	4	2
387	для обозначения	4	2
388	для него	2	2
389	относится к	6	2
390	это нужно	2	2
391	с его	3	2
392	сказать что	33	2
393	на всю	2	2
394	пока еще	12	2
395	он не	5	2
396	что если	5	2
397	когда мы	10	2
398	советской науке	2	2
399	то нет	2	2
400	другой стороны	7	2
401	значит что	6	2
402	как оно	3	2
403	тем более	13	2
404	дело в	3	2
405	должно быть	3	2
406	его как	2	2
407	разница между	2	2
408	особенно в	3	2
409	время не	2	2
410	от другого	4	2
411	и даже	19	2
412	мы можем	8	2
413	общего с	10	2
414	д и	4	2
415	этом отношении	2	2
416	и которые	6	2
417	становится ясным	2	2
418	не является	12	2
419	он есть	5	2
420	совершенно не	7	2
421	с и	2	2
422	в пределах	2	2
423	быть только	3	2
424	нас в	4	2
425	н г	4	2
426	на тот	4	2
427	в жизни	3	2
428	например из	2	2
429	и так	2	2
430	и является	9	2
431	говорить что	2	2
432	значение как	2	2
433	и никаких	2	2
434	в чем	3	2
435	что такое	23	2
436	если это	2	2
437	во что	2	2
438	если угодно	2	2
439	не значит	4	2
440	и если	9	2
441	оно не	6	2
442	о них	3	2
443	основана на	2	2
444	на что	3	2
445	но что	3	2
446	был не	2	2
447	года в	2	2
448	по себе	20	2
449	и должны	3	2
450	раз и	13	2
451	в человеческом	2	2
452	значения и	11	2
453	из этого	2	2
454	что эта	2	2
455	говорить о	14	2
456	и особенно	4	2
457	но их	2	2
458	но еще	2	2
459	друг другу	2	2
460	как его	2	2
461	но оно	2	2
462	в нашем	3	2
463	но эта	3	2
464	что при	2	2
465	или когда	2	2
466	направление в	3	2
467	однако не	3	2
468	значение слова	4	2
