N	2gram	Voloshinov	Tragedij
1	и в	12	18
2	в этом	4	9
3	не только	4	8
4	и не	10	7
5	и на	4	7
6	как бы	13	7
7	и с	3	7
8	может быть	14	7
9	но в	5	6
10	и его	13	6
11	все же	4	5
12	это не	2	5
13	то же	5	5
14	как и	5	5
15	так и	4	5
16	не может	16	5
17	в то	2	5
18	что в	2	4
19	еще не	3	4
20	но и	3	4
21	прежде всего	8	4
22	том что	5	4
23	и что	2	4
24	так же	3	4
25	и все	2	4
26	все это	3	4
27	в нем	6	4
28	то что	5	4
29	но это	2	4
30	в себе	3	4
31	уже в	2	3
32	к нему	4	3
33	в своем	2	3
34	при этом	6	3
35	в его	2	3
36	все эти	3	3
37	отнюдь не	5	3
38	в основном	2	3
39	как в	5	3
40	как это	2	3
41	для него	3	3
42	с ним	3	3
43	никогда не	5	2
44	в самом	4	2
45	и то	2	2
46	но все	2	2
47	данном случае	2	2
48	до конца	2	2
49	в душе	2	2
50	его в	4	2
51	ничего не	2	2
52	имеет в	3	2
53	в данном	2	2
54	как же	2	2
55	о том	3	2
56	что и	2	2
57	ни в	3	2
58	не в	4	2
59	и здесь	2	2
60	вместе со	2	2
61	жизнью и	2	2
62	еще раз	2	2
63	он не	2	2
64	и ее	3	2
65	уже не	4	2
66	не так	2	2
67	в том	6	2
68	с его	2	2
69	отношение к	4	2
