N	2gram	Voloshinov	Poddanst
1	не только	28	17
2	и в	42	14
3	и не	14	12
4	в области	6	11
5	в этом	10	10
6	в отношении	2	10
7	но в	5	9
8	то же	16	9
9	в том	3	9
10	в качестве	4	9
11	хотя бы	18	8
12	в пределах	2	8
13	в то	9	7
14	только в	7	7
15	же время	7	7
16	быть может	3	6
17	но и	16	6
18	было бы	7	6
19	в ней	8	6
20	н о	2	5
21	не в	6	5
22	в которых	2	5
23	и пр	4	5
24	может быть	13	5
25	если бы	4	4
26	и потому	2	4
27	том что	3	4
28	мы должны	10	4
29	в котором	3	4
30	и к	4	4
31	как бы	30	4
32	то что	9	4
33	не может	13	4
34	а в	5	4
35	что мы	11	3
36	и как	10	3
37	с тем	8	3
38	но не	2	3
39	тем самым	8	3
40	это не	3	3
41	с точки	5	3
42	мы не	9	3
43	я и	2	3
44	для того	9	3
45	в себе	10	3
46	точки зрения	11	3
47	потому что	7	3
48	в нем	6	3
49	между тем	3	3
50	и без	4	3
51	прежде всего	22	3
52	хотя и	3	3
53	тот же	2	3
54	для нас	3	2
55	должно быть	2	2
56	да и	4	2
57	в жизни	2	2
58	в мире	2	2
59	было в	4	2
60	теперь в	3	2
61	есть не	2	2
62	отношения к	3	2
63	для них	2	2
64	не к	4	2
65	и это	8	2
66	слова но	3	2
67	помнить что	2	2
68	точек зрения	5	2
69	и тем	7	2
70	в его	6	2
71	с этим	2	2
72	и вот	3	2
73	в начале	3	2
74	еще более	2	2
75	все это	4	2
76	в частности	3	2
77	друг другу	2	2
78	а не	7	2
79	не было	2	2
80	и с	5	2
81	во всех	6	2
82	в ее	3	2
83	не нужно	2	2
84	заключает в	4	2
85	нужно было	2	2
86	к чему	2	2
87	в глубинах	2	2
88	в значительной	2	2
89	того что	4	2
90	главным образом	3	2
91	так называемые	4	2
92	из них	3	2
93	отнюдь не	10	2
