N	3gram	Tiupa_Narr	Myshleni
1	в том что	11	133
2	с точки зрения	2	89
3	для того чтобы	4	78
4	по отношению к	5	42
5	с одной стороны	5	39
6	то же самое	3	31
7	в этом отношении	5	30
8	о том что	3	25
9	на то что	2	25
10	не может быть	6	23
11	к тому что	4	22
12	в зависимости от	3	22
13	можно сказать что	5	21
14	не только не	2	21
15	и тем самым	6	19
16	в самом деле	3	19
17	в отличие от	6	18
18	во всяком случае	2	18
19	состоит в том	5	18
20	до сих пор	3	17
21	одного и того	2	17
22	в связи с	3	17
23	и того же	2	17
24	в известном смысле	4	15
25	в данном случае	12	15
26	в свою очередь	2	14
27	подобно тому как	4	14
28	а с другой	2	13
29	точно так же	2	13
30	тем не менее	6	12
31	одно и то	2	12
32	и то же	2	12
33	друг на друга	2	10
34	в конечном счете	4	9
35	более или менее	2	9
36	речь идет о	3	8
37	той или иной	6	8
38	в первом случае	3	7
39	как раз в	3	7
40	заключает в себе	2	6
41	и не может	3	6
42	в этом и	3	6
43	в то же	7	5
44	тому что он	2	5
45	едва ли не	2	5
46	как если бы	2	5
47	сами по себе	2	5
48	не только в	12	5
49	но и в	4	4
50	смысле можно сказать	2	4
51	мы имеем дело	4	4
52	имеем дело с	4	3
53	в соответствии с	7	3
54	но и не	2	3
55	известном смысле можно	2	3
56	но при этом	3	3
57	к тому же	8	3
58	что у нее	3	3
59	того или иного	3	3
60	внимание на то	2	3
61	то же время	7	3
62	чем иным как	2	3
63	дело в том	2	3
64	и все же	4	2
65	между детьми и	2	2
66	в частности в	2	2
67	может быть не	2	2
68	в этом последнем	2	2
69	что у него	2	2
70	как бы в	2	2
71	в ответ на	3	2
72	по сути дела	2	2
73	из этих двух	2	2
74	тем или иным	2	2
