N	3gram	Vinokur_St	EvropaiC
1	в том что	29	16
2	до сих пор	12	15
3	по отношению к	3	11
4	более или менее	2	8
5	а между тем	2	8
6	с точки зрения	10	8
7	на самом деле	7	7
8	для того чтобы	13	7
9	на то что	5	7
10	так или иначе	3	5
11	в самом деле	7	5
12	к тому же	2	5
13	тем не менее	4	4
14	тот факт что	5	4
15	с другой стороны	8	4
16	в конце концов	2	4
17	в этом случае	3	4
18	в этой области	5	4
19	может быть и	2	4
20	о том что	19	4
21	не может быть	5	4
22	вместе с тем	2	3
23	бы то ни	2	3
24	так же как	5	3
25	в настоящее время	2	3
26	в данном случае	7	3
27	в том же	3	3
28	заключается в том	4	3
29	и то что	2	3
30	ничего общего с	3	2
31	то что у	2	2
32	с одной стороны	2	2
33	во всяком случае	8	2
34	и в том	3	2
35	но все же	3	2
36	в то время	2	2
37	что же касается	3	2
38	то же время	5	2
39	как и в	2	2
40	том что он	6	2
41	в то же	5	2
