N	3gram	Vinokur_Vv	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	4	7
3	с точки зрения	4	6
4	во всяком случае	5	6
5	для того чтобы	22	5
6	по крайней мере	4	5
7	до сих пор	7	5
8	но все же	4	4
9	о том что	13	4
10	с течением времени	7	3
11	в конце концов	2	3
12	точно так же	2	3
13	так или иначе	4	3
14	всяком случае не	2	3
15	тем не менее	9	3
16	в том что	15	3
17	в связи с	2	3
18	а так как	2	3
19	и в этом	4	2
20	можно сказать что	3	2
21	но вместе с	2	2
22	то же самое	3	2
23	в то же	6	2
24	той или иной	3	2
25	в том виде	3	2
26	и потому что	2	2
27	может быть и	2	2
28	в значительной мере	2	2
29	то же время	6	2
30	этой точки зрения	2	2
31	с этой точки	2	2
32	влечет за собой	2	2
33	в этом отношении	4	2
34	по сравнению с	4	2
