N	2gram	Propp_Russ	Tragedij
1	и в	59	18
2	в году	5	9
3	в этом	18	9
4	не только	28	8
5	и не	6	7
6	и на	14	7
7	как бы	18	7
8	и с	12	7
9	может быть	14	7
10	что он	2	6
11	но в	5	6
12	и его	2	6
13	в образе	3	6
14	у него	2	6
15	несмотря на	4	5
16	что это	4	5
17	к жизни	3	5
18	все же	7	5
19	это не	14	5
20	то же	6	5
21	как и	19	5
22	в дальнейшем	2	5
23	так и	8	5
24	не может	6	5
25	в то	3	5
26	что в	35	4
27	еще не	7	4
28	в целом	2	4
29	но и	20	4
30	прежде всего	2	4
31	об этом	11	4
32	том что	33	4
33	в этой	4	4
34	и что	8	4
35	так же	7	4
36	и все	4	4
37	все это	12	4
38	в нем	3	4
39	то что	10	4
40	но это	5	4
41	один из	10	3
42	своего рода	3	3
43	и как	2	3
44	уже в	2	3
45	к нему	3	3
46	в своем	3	3
47	при этом	11	3
48	в его	3	3
49	что с	2	3
50	все эти	5	3
51	в поле	18	3
52	отнюдь не	3	3
53	о чем	7	3
54	в основном	4	3
55	как будто	6	3
56	должно быть	2	3
57	как в	10	3
58	как это	11	3
59	жизнь и	2	3
60	то есть	3	3
61	с ним	2	3
62	и то	2	2
63	но все	3	2
64	данном случае	8	2
65	до конца	5	2
66	с тем	14	2
67	ее к	2	2
68	одна из	12	2
69	друг друга	3	2
70	тем что	7	2
71	перед нами	2	2
72	вопрос о	4	2
73	в одном	4	2
74	его в	9	2
75	в русском	4	2
76	не имеет	9	2
77	в виде	10	2
78	ничего не	4	2
79	то и	4	2
80	нет в	2	2
81	в данном	7	2
82	бросается в	3	2
83	но эта	2	2
84	что все	2	2
85	вряд ли	2	2
86	к тому	4	2
87	говорит о	3	2
88	о том	14	2
89	она как	2	2
90	что и	8	2
91	тут же	2	2
92	не в	2	2
93	и здесь	3	2
94	потому что	15	2
95	что этот	4	2
96	не просто	3	2
97	в частности	2	2
98	как у	2	2
99	в таком	5	2
100	так что	4	2
101	и ее	3	2
102	и лучше	2	2
103	и за	2	2
104	уже не	9	2
105	из самых	2	2
106	что она	4	2
107	что эти	2	2
108	и это	2	2
109	но они	4	2
110	отличие от	4	2
111	из своих	2	2
112	в том	33	2
113	с г	2	2
114	в глаза	3	2
115	и до	3	2
116	который в	2	2
117	не случайно	2	2
118	в отличие	4	2
119	не был	3	2
120	еще в	6	2
121	он был	2	2
122	в это	4	2
