N	3gram	Voloshinov	EvropaiE
1	с точки зрения	15	16
2	в то же	6	15
3	то же время	6	14
4	с одной стороны	2	8
5	в том что	9	6
6	для того чтобы	3	5
7	то ни было	2	4
8	бы то ни	3	4
9	и прежде всего	7	3
10	во всяком случае	8	3
11	в применении к	2	3
12	в этом отношении	4	3
13	можно сказать что	5	3
14	в этом смысле	2	3
15	хотя бы и	2	3
16	в данном случае	4	2
17	к тому чтобы	3	2
18	в большинстве случаев	5	2
19	но в то	3	2
20	так и в	3	2
21	как мы видели	8	2
22	заключается в том	2	2
23	мы можем сказать	5	2
24	в свою очередь	4	2
25	прежде всего к	3	2
26	не может быть	14	2
27	и притом в	3	2
