N	2gram	Kanaev_Sov	EvropaiC
1	таким образом	11	34
2	в том	4	31
3	и в	7	24
4	все эти	5	19
5	не может	17	18
6	может быть	12	17
7	все же	3	15
8	точки зрения	12	14
9	в этом	7	13
10	все это	3	13
11	с этим	2	12
12	самом деле	2	12
13	не только	4	10
14	мы знаем	2	10
15	как и	6	10
16	как бы	4	10
17	в результате	6	9
18	друг с	2	9
19	и не	6	9
20	не в	3	9
21	что в	2	9
22	и все	3	9
23	с другом	2	9
24	при этом	3	9
25	и что	2	9
26	из этих	2	8
27	в самом	2	8
28	знаем что	2	8
29	с точки	5	8
30	ясно что	3	8
31	так как	4	7
32	не менее	2	7
33	в этой	3	7
34	что при	2	7
35	вместе с	4	7
36	отличается от	3	6
37	еще не	3	6
38	мы можем	6	6
39	но все	2	5
40	в себе	3	5
41	в которой	2	5
42	из них	4	5
43	что это	2	5
44	у него	2	5
45	что все	2	5
46	но в	3	5
47	и к	3	5
48	в целом	4	5
49	в его	2	5
50	быть и	2	5
51	не могут	2	4
52	мы должны	4	4
53	то ни	2	4
54	тем не	2	4
55	в конце	3	4
56	и т.д	3	4
57	состоит из	3	4
58	то же	3	4
59	в области	3	4
60	в виде	2	4
61	совершенно не	2	4
62	между собой	3	4
63	из которых	2	4
64	в таком	2	4
65	если мы	4	4
66	в дальнейшем	4	4
67	вопрос о	4	3
68	это не	4	3
69	и потому	3	3
70	не подлежит	3	3
71	в настоящее	2	3
72	настоящее время	2	3
73	и наконец	5	3
74	у нас	3	3
75	прежде всего	5	3
76	отличие от	2	3
77	с одной	2	3
78	как известно	2	3
79	на этой	3	3
80	а в	4	3
81	в нем	3	3
82	для нас	3	3
83	может не	3	3
84	можно назвать	2	3
85	подлежит сомнению	2	3
86	было бы	3	3
87	и по	2	3
88	если же	2	3
89	в нашем	2	3
90	тот же	2	3
91	как мы	2	3
92	конечно в	2	2
93	одна из	3	2
94	то и	2	2
95	что она	3	2
96	при таком	3	2
97	свою очередь	2	2
98	зависимости от	4	2
99	этих двух	2	2
100	он должен	2	2
101	из двух	3	2
102	точку зрения	4	2
103	такой же	2	2
104	в один	2	2
105	и будет	2	2
106	с общим	2	2
107	мы видели	4	2
108	наконец не	2	2
109	их в	4	2
110	в свою	2	2
111	на этом	2	2
112	отнюдь не	3	2
113	что же	5	2
114	всяком случае	2	2
115	жизни и	4	2
116	во всяком	2	2
117	говорить о	2	2
118	из одного	2	2
119	только один	2	2
120	той же	2	2
121	тем же	2	2
