N	3gram	Tiupa_Narr	Psycholo
1	в том что	8	78
2	о том что	6	34
3	с точки зрения	2	29
4	с одной стороны	7	28
5	не может быть	5	23
6	с другой стороны	4	20
7	так же как	2	14
8	в этом отношении	3	14
9	можно было бы	2	13
10	этой точки зрения	2	12
11	в конечном счете	2	11
12	подобно тому как	2	11
13	сами по себе	2	10
14	в данном случае	4	9
15	в отличие от	5	9
16	точно так же	2	9
17	не то что	2	9
18	речь идет о	2	8
19	состоит в том	3	7
20	в свою очередь	3	7
21	можно сказать что	4	7
22	более или менее	2	6
23	тем не менее	3	6
24	не что иное	2	6
25	что иное как	2	6
26	того или иного	2	6
27	не только в	2	6
28	в таком случае	2	5
29	к тому же	4	4
30	то есть в	2	4
31	именно в том	2	4
32	то или иное	2	4
33	в основе своей	4	4
34	бы то ни	3	3
35	как и на	2	3
36	в том или	2	3
37	в то же	3	3
38	по отношению к	6	3
39	то же время	3	3
40	том или ином	2	3
41	в себя и	2	3
42	той или иной	4	2
43	в первом случае	2	2
44	все же не	4	2
45	то ни было	3	2
46	в связи с	2	2
47	не может не	2	2
48	и тем самым	3	2
49	так или иначе	2	2
50	мы имеем дело	2	2
51	не только о	2	2
