N	2gram	Medvedev_V	OGranits
1	и в	26	13
2	и его	6	12
3	прежде всего	13	9
4	и не	20	8
5	не может	17	8
6	может быть	23	8
7	в его	15	7
8	и их	3	7
9	точки зрения	3	7
10	не только	26	6
11	как бы	5	6
12	таким образом	32	6
13	только в	8	6
14	то что	7	6
15	все же	6	5
16	и наконец	2	5
17	хотя бы	20	5
18	художественного произведения	6	5
19	в процессе	17	5
20	еще и	2	4
21	но в	2	4
22	лишь в	2	4
23	то же	10	4
24	в сознании	4	4
25	не является	5	4
26	произведения как	6	4
27	в своей	4	4
28	все это	13	4
29	было бы	8	4
30	в каждом	2	4
31	никогда не	5	3
32	да и	2	3
33	и для	2	3
34	связана с	2	3
35	в ее	4	3
36	с этим	3	3
37	отношению к	7	3
38	как и	7	3
39	в пределах	5	3
40	не в	6	3
41	в их	5	3
42	говорить о	2	3
43	ни один	8	3
44	понятно что	2	3
45	в себе	6	3
46	что в	11	3
47	по отношению	7	3
48	но для	2	3
49	так и	6	3
50	в которой	2	3
51	в одном	5	3
52	в искусстве	6	3
53	но и	10	3
54	не столько	2	3
55	в самом	4	2
56	могут быть	8	2
57	в этом	29	2
58	смысле слова	2	2
59	в них	5	2
60	представлений и	2	2
61	в книге	2	2
62	в том	15	2
63	в целом	5	2
64	если бы	3	2
65	с одной	2	2
66	зависимости от	5	2
67	явлений и	3	2
68	роль в	4	2
69	и др	10	2
70	ее в	4	2
71	с другой	11	2
72	а в	3	2
73	том что	8	2
74	того или	2	2
75	а как	2	2
76	и к	3	2
77	в связи	4	2
78	в зависимости	6	2
79	этой проблемы	3	2
80	в общем	2	2
81	не менее	2	2
82	с ними	4	2
83	все эти	8	2
84	художественное произведение	7	2
85	и отбор	2	2
86	в области	2	2
87	так же	3	2
88	что они	3	2
89	и при	5	2
90	и может	2	2
91	в своих	2	2
92	в нем	7	2
93	и ее	4	2
94	а не	7	2
95	между собою	2	2
96	во всей	2	2
97	в ней	2	2
98	вслед за	3	2
99	в течение	2	2
100	другой стороны	8	2
101	в словесном	2	2
102	чем же	4	2
103	одной стороны	2	2
104	бы в	3	2
105	между тем	6	2
106	в целях	2	2
107	и этот	2	2
108	в чем	2	2
109	на язык	2	2
110	в другом	2	2
111	вовсе не	3	2
112	к сожалению	2	2
113	к тому	5	2
114	для него	9	2
