N	2gram	Bakhtin_Fr	PoTuStor
1	может быть	5	17
2	и в	73	16
3	в этом	21	9
4	таким образом	34	9
5	прежде всего	18	9
6	и с	17	8
7	точки зрения	6	8
8	не может	4	8
9	и его	18	8
10	сказать что	4	7
11	не только	11	7
12	с его	5	7
13	и это	6	6
14	с точки	4	6
15	конечно не	2	6
16	самом деле	4	6
17	и к	6	6
18	для него	7	6
19	при этом	5	6
20	ни в	7	5
21	все эти	24	5
22	как бы	15	5
23	еще не	3	5
24	в чем	3	5
25	в него	4	5
26	отношение к	3	5
27	как мы	19	4
28	и на	12	4
29	все это	19	4
30	на самом	2	4
31	его в	3	4
32	в его	18	4
33	и ее	2	4
34	но и	15	4
35	и не	13	4
36	и все	19	4
37	но в	12	4
38	с самого	2	4
39	в этой	18	4
40	с ее	3	4
41	и наконец	6	4
42	так как	9	4
43	и их	5	4
44	все что	5	4
45	и может	2	4
46	только в	7	4
47	в нем	18	4
48	с ними	4	4
49	так и	13	4
50	для всех	3	4
51	мысли и	3	4
52	и даже	4	4
53	что в	14	3
54	жизни и	6	3
55	и как	5	3
56	и потому	6	3
57	на этой	4	3
58	тех же	2	3
59	а в	10	3
60	в том	13	3
61	их в	5	3
62	и вот	3	3
63	между ними	2	3
64	в области	3	3
65	те же	3	3
66	до сих	3	3
67	в основном	2	3
68	только на	2	3
69	и есть	3	3
70	во время	12	3
71	но оно	3	3
72	большинстве случаев	9	3
73	в большинстве	9	3
74	в этих	6	3
75	как это	2	3
76	то что	12	3
77	во всех	13	3
78	если б	2	3
79	мира и	6	3
80	сих пор	3	3
81	вместе с	9	3
82	учение о	2	3
83	в одном	5	3
84	к себе	3	3
85	и др	12	3
86	на этом	6	3
87	во всяком	2	3
88	том что	8	3
89	в основе	3	3
90	один из	5	2
91	никогда не	6	2
92	для нас	2	2
93	что мы	2	2
94	может иметь	2	2
95	по своему	3	2
96	мы видим	13	2
97	есть и	4	2
98	на них	3	2
99	в них	14	2
100	здесь же	2	2
101	для этого	2	2
102	и вообще	3	2
103	и для	8	2
104	совсем не	3	2
105	в область	3	2
106	все то	3	2
107	что это	9	2
108	другими словами	2	2
109	оно и	3	2
110	и по	4	2
111	так называемый	3	2
112	таким путем	2	2
113	а на	4	2
114	что и	6	2
115	на первый	2	2
116	было бы	5	2
117	не могут	3	2
118	и других	3	2
119	о том	13	2
120	то же	16	2
121	они не	2	2
122	с этим	4	2
123	как и	19	2
124	что он	8	2
125	так же	11	2
126	да еще	3	2
127	образов и	4	2
128	того же	7	2
129	в своей	4	2
130	мы не	2	2
131	ни было	2	2
132	в самом	9	2
133	находится в	2	2
134	в начале	4	2
135	с этой	4	2
136	исторического и	2	2
137	в свое	2	2
138	не на	5	2
139	в частности	2	2
140	и вся	3	2
141	связанные с	4	2
142	он не	4	2
143	у него	13	2
144	ту же	3	2
145	между собою	3	2
146	во всей	2	2
147	если мы	2	2
148	со всеми	4	2
149	момента в	2	2
150	и о	2	2
151	оно не	2	2
152	не есть	2	2
153	всех его	3	2
154	и исторического	3	2
155	к этому	5	2
156	его целом	2	2
157	в развитии	2	2
158	и образы	5	2
159	и через	2	2
160	по всему	2	2
161	только и	2	2
162	поэтому и	5	2
163	с помощью	11	2
164	связанных с	5	2
165	не знает	4	2
166	и т.п	21	2
167	момент в	4	2
168	и так	2	2
169	всех других	2	2
170	и этим	2	2
171	есть в	9	2
172	мы уже	25	2
173	с ним	6	2
174	характерно для	3	2
175	между собой	2	2
176	но это	3	2
