N	3gram	Propp_Isto	Vvedenie
1	и т д	25	39
2	в том что	7	15
3	о том что	9	13
4	не может быть	5	10
5	тем не менее	4	9
6	до сих пор	4	7
7	в этом случае	4	6
8	во всяком случае	3	5
9	т д но	2	5
10	на этот вопрос	3	5
11	с другой стороны	17	5
12	в том чтобы	2	5
13	не только в	9	4
14	в данном случае	7	4
15	так или иначе	2	4
16	т е в	2	4
17	но все же	3	4
18	с одной стороны	11	4
19	по отношению к	3	4
20	можно было бы	3	4
21	вместе с тем	6	3
22	как мы видели	3	3
23	в зависимости от	3	3
24	с тем что	2	3
25	но вместе с	2	2
26	ответ на вопрос	2	2
27	мы уже знаем	5	2
28	на том что	2	2
29	т д в	3	2
30	этой точки зрения	3	2
31	с этой точки	3	2
32	в этих случаях	12	2
33	точно так же	2	2
34	в другом месте	2	2
35	после того как	4	2
