N	2gram	Tiupa_Anal	Komedia
1	и в	36	77
2	и не	14	47
3	в том	16	44
4	том что	19	42
5	т е	2	33
6	о том	9	33
7	едва ли	6	32
8	но и	26	32
9	может быть	19	30
10	таким образом	4	29
11	из них	4	29
12	в то	8	28
13	и его	18	28
14	в этом	19	27
15	что он	5	26
16	к тому	10	26
17	не только	40	25
18	тому же	7	25
19	вместе с	3	25
20	как и	27	23
21	в доме	2	23
22	что в	15	23
23	что и	10	22
24	если бы	2	22
25	в самом	7	22
26	в конце	6	21
27	так и	19	21
28	а в	17	21
29	то же	7	21
30	в его	12	20
31	со стороны	12	19
32	во время	2	19
33	к этому	3	19
34	в этой	10	18
35	тем что	3	17
36	еще не	7	17
37	и здесь	4	17
38	в нем	3	17
39	же время	7	17
40	все же	6	16
41	у него	2	16
42	не менее	9	16
43	при этом	19	16
44	тот же	3	16
45	и сам	8	16
46	он не	9	16
47	его в	4	15
48	в своем	7	15
49	не в	9	15
50	точки зрения	3	15
51	между тем	8	15
52	прежде всего	7	15
53	один из	6	15
54	на себя	5	15
55	было бы	6	15
56	и на	5	15
57	ли не	5	14
58	все это	5	14
59	об этом	3	14
60	в свою	9	14
61	столь же	7	14
62	о чем	5	13
63	то что	5	13
64	так что	2	13
65	самом деле	2	13
66	но в	8	13
67	того же	7	13
68	в них	4	13
69	что она	3	13
70	мы можем	2	13
71	в одном	4	13
72	как раз	8	13
73	с другой	10	12
74	как это	7	12
75	уже в	5	12
76	несмотря на	2	12
77	в качестве	22	12
78	хотя и	4	12
79	в начале	10	12
80	не может	3	12
81	как в	9	12
82	но не	13	12
83	из которых	2	12
84	нового времени	4	12
85	по отношению	9	11
86	в их	7	11
87	в частности	19	11
88	с тем	2	11
89	одного из	4	11
90	речь идет	3	11
91	как мы	4	11
92	и даже	12	11
93	и для	4	11
94	с ним	2	11
95	в отношении	2	10
96	в целом	8	10
97	отношение к	2	10
98	ничего не	3	10
99	одной из	6	10
100	и все	3	10
101	в чем	2	10
102	что касается	5	10
103	на его	3	10
104	в глазах	6	10
105	мы не	4	10
106	же в	5	10
107	он был	3	10
108	свою очередь	7	10
109	с его	15	10
110	с этим	4	10
111	тем более	3	10
112	с одной	3	10
113	как бы	14	10
114	более чем	2	10
115	и что	2	10
116	в тех	2	9
117	отличие от	5	9
