N	2gram	Medvedev_U	Hudozhes
1	и в	14	23
2	не только	10	20
3	в том	2	20
4	может быть	6	19
5	в частности	3	18
6	и не	8	16
7	но и	4	14
8	в себе	2	13
9	но не	2	13
10	а не	10	13
11	то же	5	12
12	в этом	7	12
13	в его	2	11
14	сводится к	2	11
15	но в	3	10
16	не в	2	9
17	том что	2	9
18	не может	7	9
19	с другой	4	9
20	в искусстве	6	9
21	в то	3	8
22	в области	3	8
23	в самом	2	7
24	в своей	3	7
25	только в	2	7
26	же время	3	7
27	не столько	2	7
28	другой стороны	3	6
29	художественного творчества	5	6
30	с его	2	6
31	конечном счете	4	5
32	могут быть	2	5
33	в конечном	4	5
34	в художественном	5	5
35	в их	4	5
36	что он	2	5
37	то что	7	5
38	прежде всего	8	5
39	для него	3	5
40	и то	3	4
41	эстетического объекта	6	4
42	это не	3	4
43	между тем	2	4
44	и т.д	3	4
45	художественного произведения	2	4
46	произведения искусства	3	4
47	не следует	3	4
48	и для	2	3
49	не случайно	2	3
50	как и	3	3
51	о чем	2	3
52	искусства как	2	3
53	если бы	2	3
54	как раз	2	3
55	художественное произведение	5	3
56	к области	2	3
57	таким образом	2	3
58	этом смысле	2	3
59	в системе	2	3
60	говоря иначе	2	2
61	что такое	4	2
62	не все	2	2
63	или иных	2	2
64	что она	2	2
65	не как	3	2
66	этого термина	2	2
67	в итоге	2	2
68	тех или	2	2
69	по себе	2	2
70	противном случае	2	2
71	все это	5	2
72	в сторону	2	2
73	что и	2	2
74	в противном	2	2
75	истории литературы	3	2
76	то ни	3	2
77	ни было	3	2
78	одним из	2	2
79	самом деле	2	2
80	в этой	4	2
81	превращается в	2	2
82	бы то	3	2
