N	2gram	Medvedev_V	DiskursI
1	в качестве	12	72
2	а не	7	60
3	может быть	23	56
4	не только	26	49
5	и в	26	49
6	как и	7	47
7	в том	15	44
8	и не	20	44
9	том что	8	40
10	в этом	29	38
11	в себе	6	37
12	в частности	12	36
13	но и	10	35
14	но не	2	31
15	так и	6	28
16	но в	2	28
17	не может	17	27
18	еще не	2	23
19	отнюдь не	4	23
20	все же	6	19
21	прежде всего	13	19
22	в нем	7	19
23	в своей	4	19
24	далеко не	3	18
25	по отношению	7	17
26	то же	10	17
27	с другой	11	17
28	отношению к	7	17
29	точки зрения	3	16
30	только в	8	16
31	роль в	4	15
32	в его	15	15
33	то что	7	15
34	о том	10	15
35	это не	7	14
36	или иной	2	14
37	не в	6	14
38	не менее	2	14
39	одной стороны	2	14
40	можно сказать	4	14
41	не является	5	14
42	с одной	2	14
43	в целом	5	13
44	для него	9	13
45	как бы	5	13
46	в своем	8	12
47	при всей	2	12
48	в своих	2	12
49	что в	11	11
50	с его	4	11
51	и как	3	11
52	не было	7	11
53	а в	3	10
54	не столько	2	10
55	также и	2	10
56	же время	5	10
57	в то	6	9
58	в силу	14	9
59	между тем	6	9
60	в них	5	9
61	внимание на	2	9
62	сводится к	3	9
63	пока еще	2	9
64	человека в	2	8
65	этом отношении	14	8
66	к тому	5	8
67	хотя и	2	8
68	если в	2	8
69	в противоположность	3	8
70	и даже	2	8
71	не с	2	8
72	в котором	3	8
73	в творчестве	3	8
74	в одном	5	8
75	из них	11	8
76	он не	2	8
77	не следует	8	8
78	перед нами	5	7
79	его в	3	7
80	о чем	2	7
81	могут быть	8	7
82	и ее	4	7
83	приводит к	6	7
84	одной из	2	7
85	и для	2	7
86	в процессе	17	7
87	что и	3	7
88	например в	3	7
89	в этой	4	7
90	другой стороны	8	7
91	к этому	9	7
92	лишь в	2	7
93	в пределах	5	7
94	и его	6	7
95	таким образом	32	7
96	никогда не	5	6
97	к его	2	6
98	что он	4	6
99	именно в	3	6
100	тому как	3	6
101	крайней мере	2	6
102	и может	2	6
103	в ее	4	6
104	одна из	4	6
105	во всех	7	6
106	конечном счете	5	6
107	в особенности	2	6
108	по крайней	2	6
109	в конечном	7	6
110	в которых	3	6
111	в другом	2	5
112	по словам	8	5
113	в виду	4	5
114	в их	5	5
115	не всегда	2	5
116	и потому	2	5
117	того что	3	5
118	к ним	2	5
119	стороны и	2	5
120	мира и	3	5
121	один из	6	5
122	было в	2	5
123	того как	2	5
124	сказать что	5	5
125	по слову	2	5
126	из этих	7	5
127	так сказать	2	5
128	мысль о	2	5
129	в значительной	3	5
130	подобно тому	3	5
131	на этом	2	5
132	не вполне	2	5
133	как раз	4	5
134	говорить о	2	5
135	же самое	2	5
136	в ней	2	5
137	не о	2	4
138	не могут	10	4
139	слова не	2	4
140	который по	2	4
141	у них	2	4
142	одном из	4	4
143	и др	10	4
144	того или	2	4
145	как это	12	4
146	ни одна	2	4
147	что не	3	4
148	в году	7	4
149	что они	3	4
150	должны быть	2	4
151	во всяком	2	4
152	мы имеем	3	4
153	а к	2	4
154	в результате	5	4
155	отличается от	2	4
156	связи с	5	4
157	одним из	5	4
158	в жизни	2	4
159	частности в	2	4
160	в самом	4	4
161	будто бы	2	4
162	и к	3	4
163	со своим	3	4
164	зависит от	2	4
165	по себе	2	4
166	говорит о	7	4
167	или в	3	4
168	и есть	5	4
169	еще и	2	3
170	не подлежит	2	3
171	этого рода	2	3
172	вплоть до	2	3
173	в форме	3	3
174	ли не	2	3
175	это и	6	3
176	в области	2	3
177	на основании	8	3
178	как на	3	3
179	у пушкина	2	3
180	что ни	2	3
181	они и	2	3
182	но как	3	3
183	она не	3	3
184	они не	2	3
185	он говорит	5	3
186	более или	6	3
187	об этом	9	3
188	в романе	4	3
189	и он	3	3
190	как целого	3	3
191	словесного выражения	2	3
192	о его	2	3
193	числе и	2	3
194	все эти	8	3
195	было бы	8	3
196	должна быть	2	3
197	том числе	2	3
198	да и	2	3
199	не столь	3	3
200	и от	3	3
201	произведения как	6	3
202	с этим	3	3
203	хотя бы	20	3
204	в которой	2	3
205	а о	2	3
206	и по	3	3
207	и наконец	2	3
208	как у	2	3
209	при всем	3	3
210	заключается в	2	3
211	имеет свою	3	3
212	или менее	6	3
213	различного рода	4	3
214	их в	7	3
215	когда он	4	3
216	всяком случае	2	3
217	жизни и	3	3
218	и сам	2	3
219	момент в	3	3
220	вместе с	8	3
221	можно определить	2	2
222	можно указать	2	2
223	в книге	2	2
224	от его	2	2
225	чтобы не	2	2
226	очевидно что	7	2
227	всего лишь	3	2
228	и быть	2	2
229	вслед за	3	2
230	в каждом	2	2
231	в науке	2	2
232	и при	5	2
233	в основном	7	2
234	в чем	2	2
235	его не	3	2
236	что даже	2	2
237	по существу	4	2
238	мы видели	3	2
239	так например	2	2
240	действующих лиц	5	2
241	не приходится	2	2
242	только с	2	2
243	рассказывает что	2	2
244	в различных	2	2
245	говорит и	8	2
246	говорит об	2	2
247	или меньшей	3	2
248	определить как	2	2
249	иметь в	2	2
250	следует понимать	5	2
251	все это	13	2
252	свидетельствуют о	2	2
253	который в	2	2
254	же как	2	2
255	на язык	2	2
256	вовсе не	3	2
257	по поводу	4	2
258	некоторые из	3	2
259	в стихах	2	2
260	в воображении	2	2
261	удивительно что	3	2
262	до нас	2	2
263	том чтобы	2	2
264	к работе	3	2
265	утверждать что	5	2
266	с другими	2	2
267	только то	2	2
268	что так	2	2
269	должно быть	2	2
270	что она	2	2
271	на него	2	2
272	если бы	3	2
273	не удивительно	4	2
274	это делает	3	2
275	для того	3	2
276	и их	3	2
277	в последнем	2	2
278	понимать как	2	2
279	не по	2	2
280	себе и	2	2
281	сюжета и	2	2
282	у него	6	2
283	ни с	2	2
284	ее в	4	2
285	на то	2	2
286	ни один	8	2
287	видеть в	3	2
288	лица и	2	2
289	но для	2	2
290	из которых	2	2
291	большей или	3	2
292	произведения в	7	2
293	может не	2	2
294	он сам	2	2
295	является не	4	2
296	по его	2	2
297	только о	2	2
298	персонажей и	2	2
299	а как	2	2
300	на основе	5	2
