N	2gram	Medvedev_V	Freidism
1	и не	20	34
2	таким образом	32	34
3	точки зрения	3	31
4	не может	17	30
5	может быть	23	28
6	и в	26	28
7	в этом	29	28
8	прежде всего	13	26
9	в его	15	25
10	и его	6	22
11	как бы	5	19
12	то что	7	17
13	вовсе не	3	16
14	все эти	8	15
15	так и	6	14
16	в своей	4	14
17	во всех	7	13
18	но в	2	13
19	как и	7	13
20	по отношению	7	13
21	и потому	2	12
22	том что	8	12
23	то же	10	12
24	что он	4	12
25	мы видели	3	12
26	в самом	4	12
27	и наконец	2	12
28	для него	9	12
29	все это	13	12
30	сказать что	5	11
31	его в	3	11
32	отношению к	7	11
33	мы знаем	3	11
34	только в	8	11
35	никогда не	5	10
36	не только	26	10
37	но и	10	10
38	не в	6	10
39	он не	2	10
40	в том	15	10
41	один из	6	10
42	могут быть	8	9
43	к этому	9	9
44	и др	10	9
45	в чем	2	9
46	а не	7	9
47	во всяком	2	9
48	с его	4	9
49	все же	6	8
50	с этим	3	8
51	было бы	8	8
52	еще не	2	8
53	с другими	2	8
54	а в	3	8
55	знаем что	2	8
56	в ней	2	8
57	на этом	2	8
58	всяком случае	2	8
59	так сказать	2	7
60	не могут	10	7
61	в жизни	2	7
62	в то	6	7
63	в себе	6	7
64	что в	11	7
65	и ее	4	7
66	хотя бы	20	7
67	и для	2	7
68	роль в	4	7
69	не является	5	7
70	того что	3	7
71	и у	2	7
72	но не	2	7
73	что все	4	7
74	об этом	9	7
75	в нем	7	7
76	и к	3	7
77	из них	11	7
78	жизни и	3	7
79	в этой	4	7
80	мы имеем	3	6
81	из этих	7	6
82	человека и	3	6
83	всех этих	3	6
84	не менее	2	6
85	для того	3	6
86	в пределах	5	6
87	она не	3	6
88	к тому	5	6
89	что такое	2	6
90	можно сказать	4	6
91	чем же	4	6
92	как раз	4	6
93	же время	5	6
94	во время	4	6
95	по поводу	4	5
96	что она	2	5
97	в которой	2	5
98	и по	3	5
99	от того	2	5
100	между ними	3	5
101	на основании	8	5
102	как это	12	5
103	что и	3	5
104	ее в	4	5
105	тому что	7	5
106	в общем	2	5
107	далеко не	3	5
108	в своих	2	5
109	и бессознательное	2	5
110	только то	2	5
111	это не	7	5
112	в процессе	17	5
113	отнюдь не	4	5
114	того чтобы	3	5
115	не было	7	5
116	в ее	4	5
117	с ними	4	5
118	он сам	2	5
119	говорить о	2	5
120	заключается в	2	5
121	вместе с	8	5
122	человека в	2	4
123	одна из	4	4
124	так же	3	4
125	и образы	3	4
126	в области	2	4
127	этот процесс	3	4
128	в другом	2	4
129	на него	2	4
130	этом отношении	14	4
131	если бы	3	4
132	и может	2	4
133	в виду	4	4
134	в основном	7	4
135	это только	4	4
136	не всегда	2	4
137	этой области	3	4
138	в последнем	2	4
139	у него	6	4
140	в своем	8	4
141	только с	2	4
142	в котором	3	4
143	именно в	3	4
144	этот вопрос	3	4
145	что оно	3	4
146	главным образом	7	4
147	в основных	3	4
148	смысле слова	2	4
149	по себе	2	4
150	в целом	5	4
151	нет и	3	4
152	зависимости от	5	4
153	отметить что	2	4
154	должны быть	2	4
155	в зависимости	6	4
156	это и	6	4
157	на язык	2	4
158	сводится к	3	4
159	и от	3	3
160	сновидения и	2	3
161	в сознании	4	3
162	конечном счете	5	3
163	в результате	5	3
164	и даже	2	3
165	связанное с	2	3
166	и как	3	3
167	видели что	3	3
168	сил и	3	3
169	а как	2	3
170	ни один	8	3
171	одним из	5	3
172	и при	5	3
173	у нас	3	3
174	как на	3	3
175	себе и	2	3
176	утверждает что	3	3
177	сих пор	2	3
178	в искусстве	6	3
179	в самых	2	3
180	о том	10	3
181	они не	2	3
182	все его	2	3
183	в конечном	7	3
184	к его	2	3
185	и социальной	2	3
186	их в	7	3
187	но для	2	3
188	приводит к	6	3
189	разобраться в	2	3
190	в одном	5	3
191	что мы	2	3
192	в них	5	3
193	только не	2	3
194	можно ли	2	3
195	формы и	2	3
196	на это	2	3
197	для них	2	3
198	говорит о	7	3
199	когда он	4	3
200	и есть	5	3
201	и сам	2	3
202	во всей	2	3
203	не приходится	2	3
204	из основных	2	3
205	них не	4	3
206	не интересует	2	3
207	до сих	2	3
208	между тем	6	3
209	на основе	5	3
210	во сне	21	3
211	да и	2	2
212	в книге	2	2
213	самого себя	2	2
214	чтобы не	2	2
215	вот как	4	2
216	или иной	2	2
217	в различных	2	2
218	к этим	2	2
219	ли это	2	2
220	другом месте	2	2
221	бы и	6	2
222	должно быть	2	2
223	бы в	3	2
224	и через	2	2
225	в науке	2	2
226	отличается от	2	2
227	в конце	3	2
228	должен быть	4	2
229	конце концов	2	2
230	связана с	2	2
231	при помощи	3	2
232	никаких оснований	2	2
233	все они	2	2
234	в их	5	2
235	только для	2	2
236	между собою	2	2
237	в течение	2	2
238	его не	3	2
239	опыта и	3	2
240	с одной	2	2
241	должна быть	2	2
242	образом в	3	2
243	и этот	2	2
244	относится к	2	2
245	явлений и	3	2
246	также и	2	2
247	с другой	11	2
248	они и	2	2
249	он в	2	2
250	рассказывает что	2	2
251	зависит от	2	2
252	образы и	5	2
253	он и	2	2
254	одной стороны	2	2
255	тогда когда	2	2
256	из которых	2	2
257	и их	3	2
258	но как	3	2
259	равно как	4	2
260	идеи и	6	2
261	всех других	3	2
262	же как	2	2
263	три года	2	2
264	в качестве	12	2
265	только о	2	2
266	художественное творчество	6	2
267	не следует	8	2
268	же самое	2	2
269	представлений и	2	2
270	что при	2	2
271	в работе	3	2
272	в нашей	4	2
273	будто бы	2	2
274	к работе	3	2
275	художественный образ	5	2
