N	2gram	Nazirov_Tr	Vladivir
1	и в	18	116
2	то что	4	71
3	и не	7	67
4	в году	9	65
5	не только	8	65
6	у него	6	65
7	в этом	9	53
8	в том	2	52
9	том что	4	51
10	что в	4	48
11	но и	4	47
12	в конце	3	41
13	в его	3	40
14	и с	7	39
15	то есть	3	37
16	и даже	4	36
17	так что	2	35
18	потому что	2	33
19	что он	6	32
20	не может	5	31
21	о том	2	30
22	никогда не	2	29
23	для него	3	29
24	в то	5	25
25	но в	6	25
26	в себе	4	25
27	и то	2	25
28	и его	6	25
29	может быть	7	23
30	он не	2	23
31	в виде	2	22
32	он был	2	22
33	об этом	4	22
34	ни в	2	22
35	в своем	3	20
36	прежде всего	4	20
37	и что	4	20
38	так и	5	19
39	в дальнейшем	5	19
40	по поводу	2	19
41	не в	2	18
42	не был	2	18
43	как это	3	18
44	как и	5	18
45	с его	2	18
46	не мог	2	18
47	что и	2	17
48	в этой	4	17
49	уже не	2	16
50	все же	5	16
51	к тому	2	16
52	и все	4	16
53	до конца	2	15
54	но это	4	15
55	несмотря на	5	15
56	то же	5	15
57	уже в	3	14
58	тут же	2	14
59	все эти	3	14
60	и как	3	14
61	и на	7	14
62	раз и	2	14
63	так же	4	13
64	с тем	2	13
65	что это	5	13
66	не просто	2	13
67	ничего не	2	12
68	в нем	4	12
69	и это	2	12
70	еще в	2	11
71	я не	4	11
72	при этом	3	11
73	все это	4	11
74	в данном	2	11
75	и здесь	2	11
76	в основном	3	11
77	к нему	3	10
78	что все	2	10
79	еще не	4	10
80	в самом	2	10
81	отнюдь не	3	10
82	он и	2	10
83	с ним	3	10
84	это не	5	9
85	о чем	3	9
86	в целом	4	9
87	и сам	3	9
88	же время	6	9
89	отношение к	2	8
90	как бы	7	8
91	и он	3	8
92	должно быть	3	8
93	тем что	2	8
94	и я	2	8
95	как в	3	8
96	в это	2	8
97	не имеет	2	7
98	точно так	2	7
99	о его	2	7
100	бы и	2	7
101	то и	2	7
102	но все	2	7
103	в одном	2	7
104	что этот	2	7
105	в таком	2	7
106	данном случае	2	6
107	его в	2	6
108	в отличие	2	6
109	отличие от	2	6
110	жизнь и	3	6
111	под влиянием	2	6
112	что она	2	6
113	по мнению	2	6
114	году в	2	6
115	он сам	7	6
116	вопрос о	2	5
117	друг друга	2	5
118	в частности	2	5
119	и за	2	5
120	один из	3	5
121	что с	3	5
122	и до	2	5
123	только к	2	5
124	говорит что	2	5
125	что я	4	5
126	говорит о	2	5
127	это был	2	5
128	перед нами	2	4
129	тем самым	3	4
130	не могут	2	4
131	он всегда	4	4
132	как у	2	4
133	мог бы	3	4
134	не так	2	4
135	в глаза	2	4
136	отца и	2	4
137	а что	2	3
138	и ее	2	3
139	который в	2	3
140	но эта	2	3
141	раз он	2	3
142	первого же	2	3
143	очень важно	2	3
144	как говорит	2	3
145	в мире	3	3
146	на меня	2	3
147	к жизни	5	3
148	только о	2	3
149	как будто	3	3
150	она должна	2	2
151	у достоевского	5	2
152	это очень	5	2
153	еще раз	2	2
154	что вы	3	2
155	одна из	2	2
156	знает что	2	2
157	любви и	2	2
158	жизнью и	2	2
159	времени в	2	2
160	x –	4	2
161	в ее	2	2
162	было в	2	2
163	и личность	2	2
164	что эти	2	2
165	имеет в	2	2
166	с первого	2	2
167	в душе	2	2
168	с ее	3	2
169	с г	2	2
170	во сне	2	2
171	бросается в	2	2
172	сам говорит	2	2
173	в глазах	2	2
174	своего отца	3	2
175	не за	2	2
176	личности и	2	2
177	в русском	2	2
