N	2gram	Bakhtin_Fr	NovoeSre
1	а не	6	17
2	и в	68	16
3	не может	5	16
4	нового времени	2	12
5	и не	25	11
6	и есть	5	10
7	в эпоху	18	9
8	что в	14	9
9	жизни и	6	8
10	в том	12	8
11	он не	11	8
12	может быть	10	7
13	средние века	2	7
14	как и	17	7
15	к новому	2	7
16	в этом	28	7
17	это есть	2	7
18	культуры и	7	7
19	никогда не	2	6
20	лишь в	3	6
21	ни в	6	6
22	не в	2	6
23	но это	5	6
24	с его	6	6
25	не только	21	5
26	все это	6	5
27	в нем	12	5
28	в ней	6	5
29	и к	4	5
30	культуры в	3	5
31	xix века	5	5
32	по своему	3	4
33	в них	19	4
34	и для	6	4
35	всех сторон	2	4
36	прежде всего	23	4
37	не менее	2	4
38	не было	7	4
39	и потому	6	4
40	и мы	2	4
41	перестает быть	2	4
42	эпохи и	3	4
43	то что	11	4
44	о том	5	4
45	это не	5	4
46	потому что	3	4
47	и все	16	4
48	большую роль	3	4
49	быть может	2	4
50	смысле слова	5	3
51	в мире	6	3
52	старого мира	4	3
53	тому как	2	3
54	в прошлом	2	3
55	но и	17	3
56	к жизни	2	3
57	подобно тому	2	3
58	с другой	8	3
59	в ее	5	3
60	в своей	11	3
61	еще не	3	3
62	в истории	5	3
63	как в	4	3
64	конечно не	4	3
65	в духе	11	3
66	сказать что	3	3
67	во всех	8	3
68	это было	2	3
69	в основе	7	3
70	в себе	5	2
71	как будто	2	2
72	для нового	2	2
73	все они	5	2
74	и с	15	2
75	одна из	3	2
76	для этого	3	2
77	себя в	2	2
78	но не	4	2
79	и т.п	17	2
80	что все	2	2
81	думать что	2	2
82	и от	4	2
83	общества и	2	2
84	роль в	7	2
85	того чтобы	6	2
86	и это	5	2
87	хотя бы	2	2
88	и весь	2	2
89	века но	2	2
90	а в	3	2
91	все время	3	2
92	но в	20	2
93	том что	6	2
94	не к	2	2
95	мир и	2	2
96	и на	16	2
97	с этим	2	2
98	средневековья и	4	2
99	и что	2	2
100	все эти	16	2
101	мы не	3	2
102	на протяжении	7	2
103	можно было	3	2
104	это и	4	2
105	связаны с	6	2
106	в мировой	4	2
107	мира и	4	2
108	у него	14	2
109	самой жизни	2	2
110	времени и	5	2
111	политики и	2	2
112	равно как	2	2
113	на уровне	2	2
114	уже не	2	2
115	этот мир	2	2
116	с их	5	2
117	другой стороны	5	2
118	так же	3	2
119	так и	8	2
120	такого рода	5	2
121	в нашу	2	2
122	жизни как	2	2
123	силы и	2	2
124	одной стороны	4	2
125	такой же	3	2
126	быть в	2	2
127	в то	14	2
128	который в	2	2
129	века и	5	2
130	хотя и	2	2
131	связана с	4	2
132	мысли и	2	2
133	с одной	5	2
134	от старого	2	2
135	от новой	2	2
136	xviii века	6	2
137	и даже	7	2
138	вместе с	4	2
139	старый мир	2	2
