N	2gram	Nazirov_Tr	NovoeSre
1	и в	18	16
2	не может	5	16
3	и не	7	11
4	что в	4	9
5	в том	2	8
6	он не	2	8
7	может быть	7	7
8	как и	5	7
9	в этом	9	7
10	никогда не	2	6
11	ни в	2	6
12	не в	2	6
13	но это	4	6
14	с его	2	6
15	не только	8	5
16	все это	4	5
17	в нем	4	5
18	с ее	3	5
19	должно быть	3	4
20	не имеет	2	4
21	прежде всего	4	4
22	то что	4	4
23	о том	2	4
24	это не	5	4
25	потому что	2	4
26	и все	4	4
27	в мире	3	3
28	но и	4	3
29	к жизни	5	3
30	в ее	2	3
31	к тому	2	3
32	еще не	4	3
33	как в	3	3
34	вопрос о	2	3
35	с тем	2	3
36	в себе	4	2
37	что она	2	2
38	как будто	3	2
39	и с	7	2
40	одна из	2	2
41	что все	2	2
42	в русском	2	2
43	и это	2	2
44	но в	6	2
45	том что	4	2
46	и на	7	2
47	и что	4	2
48	все эти	3	2
49	времени в	2	2
50	у него	6	2
51	уже не	2	2
52	как это	3	2
53	права на	2	2
54	так же	4	2
55	не человек	2	2
56	так и	5	2
57	в то	5	2
58	который в	2	2
59	и даже	4	2
60	я не	4	2
