N	4gram	Voloshinov	FransuaR
1	в то же время	7	55
2	но в то же	6	20
3	в том числе и	3	17
4	на самом же деле	5	10
5	в той или иной	3	10
6	и не может быть	5	4
7	один и тот же	3	4
8	в связи с этим	3	4
9	одной и той же	2	4
10	и до настоящего времени	3	4
11	той или иной степени	2	3
12	одного и того же	9	3
13	за пределы нашей работы	2	3
14	нет и не может	2	3
15	одним и тем же	2	2
16	какой бы то ни	3	2
17	может быть и речи	4	2
18	бы то ни было	11	2
19	на этот вопрос мы	2	2
20	не может быть и	4	2
21	так же как и	2	2
22	все более и более	2	2
23	ни в коем случае	2	2
