N	2gram	Savitsky_P	Problemy
1	и в	14	106
2	и не	12	90
3	как бы	4	70
4	может быть	5	66
5	т е	3	59
6	в его	2	56
7	в этом	10	52
8	в нем	3	51
9	не может	4	49
10	но и	6	40
11	точки зрения	3	40
12	а не	2	38
13	не только	17	36
14	то же	9	36
15	в пределах	8	35
16	то что	4	33
17	но в	9	33
18	прежде всего	3	32
19	в то	7	29
20	все это	2	29
21	не в	5	27
22	же время	7	26
23	с точки	3	25
24	и т	3	25
25	и с	2	25
26	по себе	4	22
27	потому что	3	20
28	только в	7	20
29	что в	4	19
30	в себе	3	18
31	но не	3	18
32	это не	3	17
33	в том	9	17
34	а в	4	17
35	и к	4	17
36	если бы	4	16
37	в отношении	10	14
38	в своем	4	14
39	как раз	2	14
40	и это	2	13
41	в мире	2	13
42	том что	4	12
43	между тем	3	12
44	было бы	6	12
45	и как	3	12
46	отношении к	5	12
47	в котором	4	12
48	должно быть	2	11
49	а я	5	11
50	с другой	5	11
51	и потому	4	9
52	могут быть	3	9
53	в них	2	9
54	хотя и	3	9
55	да и	2	9
56	хотя бы	8	9
57	точек зрения	2	9
58	мы должны	4	8
59	никак не	2	8
60	и о	5	8
61	того что	2	8
62	с ними	3	8
63	из них	2	8
64	не о	2	7
65	в виде	2	7
66	например в	2	7
67	тот же	3	7
68	в жизни	2	7
69	друг другу	2	7
70	во всех	2	7
71	не было	2	7
72	не менее	2	6
73	одна из	2	6
74	с этим	2	6
75	в начале	2	6
76	и вот	2	6
77	и пр	5	6
78	в которых	5	6
79	как на	2	6
80	отношения к	2	6
81	слова но	2	5
82	с тем	3	5
83	в общем	2	5
84	мы не	3	5
85	в ее	2	5
86	именно в	2	5
87	я и	3	5
88	в ней	6	5
89	стороны и	2	4
90	является в	2	4
91	теперь в	2	4
92	в эту	2	4
93	и без	3	4
94	во всей	2	4
95	сами по	3	4
96	еще более	2	4
97	и если	4	4
98	бы ни	2	4
99	есть нечто	2	3
100	к чему	2	3
101	именно как	2	3
102	что из	2	3
103	же в	4	3
104	и мы	2	3
105	говорить о	2	3
106	и есть	2	3
107	есть в	2	3
108	в смысле	6	3
109	сводится к	3	3
110	тех кто	4	2
111	и других	2	2
112	и пусть	2	2
113	может и	2	2
114	по сравнению	2	2
115	в значительной	2	2
116	отнюдь не	2	2
117	т а	2	2
118	для них	2	2
119	и резко	2	2
120	в россии	3	2
121	не нужно	2	2
122	было в	2	2
123	в статье	2	2
124	в качестве	9	2
125	для того	3	2
126	для нас	2	2
127	не столько	2	2
128	с одной	3	2
129	на пути	4	2
130	не к	2	2
131	столь же	3	2
132	русский народ	2	2
133	но к	2	2
134	начала и	2	2
