N	2gram	Bakhtin_KF	Hudozhes
1	в качестве	2	31
2	в мире	8	24
3	и в	28	23
4	не только	5	20
5	в том	6	20
6	может быть	45	19
7	при этом	4	19
8	и не	28	16
9	но и	9	14
10	а в	5	13
11	в себе	21	13
12	но не	12	13
13	а не	17	13
14	то же	5	12
15	в этом	15	12
16	и его	18	12
17	так и	2	12
18	как бы	9	11
19	точки зрения	13	11
20	в его	42	11
21	сводится к	2	11
22	но в	5	10
23	по отношению	26	10
24	отношению к	22	10
25	не в	13	9
26	или иной	2	9
27	том что	4	9
28	не может	29	9
29	в то	3	8
30	себя в	8	8
31	в принципе	2	8
32	в области	2	8
33	отношение к	6	7
34	я и	5	7
35	лишь в	8	7
36	в своей	11	7
37	только в	18	7
38	же время	2	7
39	что в	4	7
40	в основе	5	7
41	мы имеем	5	6
42	уже не	7	6
43	в нем	32	6
44	с ее	2	6
45	в ее	17	6
46	с его	2	6
47	тем самым	4	5
48	ни в	12	5
49	той или	3	5
50	могут быть	3	5
51	место в	6	5
52	как к	2	5
53	эстетическая деятельность	2	5
54	для того	3	5
55	того чтобы	2	5
56	в виду	3	5
57	со стороны	8	5
58	в их	9	5
59	что он	2	5
60	то что	7	5
61	не менее	3	5
62	прежде всего	4	5
63	того что	3	5
64	для него	13	5
65	или иным	2	4
66	и то	2	4
67	его в	5	4
68	или иного	3	4
69	это не	10	4
70	для себя	7	4
71	того или	3	4
72	между тем	4	4
73	входит в	4	4
74	в данном	2	4
75	и т.д	4	4
76	жизни как	5	4
77	в другом	3	4
78	не знает	5	4
79	и как	2	4
80	еще не	5	4
81	и тем	3	4
82	говорить о	2	4
83	сознания в	2	4
84	он не	6	4
85	не следует	2	4
86	в себя	8	4
87	в своем	17	4
88	от себя	10	3
89	в жизни	2	3
90	к нему	12	3
91	и для	10	3
92	по своему	3	3
93	и ее	2	3
94	в контексте	5	3
95	как и	5	3
96	в акте	3	3
97	потому что	2	3
98	слова в	2	3
99	в целом	10	3
100	имеем в	2	3
101	в свою	3	3
102	во всех	11	3
103	одного и	2	3
104	к содержанию	2	3
105	эстетического субъекта	2	3
106	тем не	2	3
107	и на	3	3
108	ценностного центра	4	3
109	если бы	8	3
110	не будет	2	3
111	с точки	10	3
112	и того	2	3
113	себя и	5	3
114	эстетического созерцания	5	3
115	в момент	3	3
116	во всей	4	3
117	этом смысле	3	3
118	отношении к	2	3
119	в одном	5	3
120	в единое	2	3
121	никогда не	5	2
122	о том	3	2
123	жизни но	3	2
124	в каком	4	2
125	вытекает из	2	2
126	как в	2	2
127	чтобы не	2	2
128	всей своей	2	2
129	и это	12	2
130	могла бы	4	2
131	тому что	2	2
132	автора как	2	2
133	и потому	2	2
134	а для	2	2
135	свою жизнь	2	2
136	вследствие этого	2	2
137	в чем	4	2
138	для меня	22	2
139	вступает в	3	2
140	именно в	5	2
141	жизни в	5	2
142	но как	5	2
143	все эти	11	2
144	было и	2	2
145	человека и	3	2
146	мира и	4	2
147	ни был	2	2
148	времени и	4	2
149	оно не	2	2
150	должен быть	7	2
151	быть и	3	2
152	включает в	2	2
153	для которого	3	2
154	дело не	2	2
155	не как	4	2
156	во мне	3	2
157	из которых	2	2
158	данный момент	3	2
159	он и	2	2
160	я не	6	2
161	отнюдь не	7	2
162	один из	2	2
163	по себе	2	2
164	мышления и	2	2
165	в данный	3	2
166	это и	3	2
167	события в	3	2
168	мира в	6	2
169	все это	10	2
170	с ними	4	2
171	бы не	3	2
172	что и	7	2
173	всей его	2	2
174	то ни	2	2
175	ни одно	5	2
176	ни было	4	2
177	и может	3	2
178	самом деле	3	2
179	этого слова	2	2
180	жить и	2	2
181	в этой	2	2
182	этом мире	2	2
183	ни к	2	2
184	а с	2	2
185	с ним	5	2
186	вовсе не	7	2
187	основе своей	2	2
188	на основе	7	2
189	с человеком	3	2
190	бы то	2	2
191	при условии	2	2
192	здесь не	3	2
