N	3gram	Tiupa_Hudo	Formalny
1	с точки зрения	3	40
2	не может быть	4	29
3	то же время	7	20
4	в то же	7	20
5	в связи с	3	16
6	по отношению к	10	12
7	в самом деле	2	11
8	бы то ни	2	10
9	с другой стороны	6	9
10	для того чтобы	5	8
11	с одной стороны	3	8
12	более или менее	6	7
13	то ни было	2	7
14	в свою очередь	2	7
15	того или иного	4	7
16	может быть и	2	6
17	и в то	2	6
18	в том что	8	6
19	до известной степени	2	5
20	в значительной степени	2	5
21	в этом смысле	3	5
22	в отличие от	7	5
23	к тому что	2	5
24	тем не менее	3	4
25	подобно тому как	3	4
26	сама по себе	2	4
27	в том числе	3	3
28	не сводится к	9	3
29	в противном случае	2	3
30	так или иначе	4	3
31	том числе и	2	3
32	мы имеем в	3	2
33	и прежде всего	2	2
34	тот или иной	3	2
35	в отношении к	2	2
36	этой точки зрения	2	2
37	с этой точки	2	2
38	так и не	4	2
39	в таком случае	2	2
40	всех без исключения	3	2
41	тех или иных	2	2
42	имеем в виду	3	2
