N	2gram	Tiupa_Anal	Freidism
1	и не	14	34
2	таким образом	4	34
3	точки зрения	3	31
4	не может	3	30
5	может быть	19	28
6	и в	36	28
7	в этом	19	28
8	прежде всего	7	26
9	в его	12	25
10	и его	18	22
11	мы можем	2	20
12	как бы	14	19
13	как мы	4	18
14	то что	5	17
15	вовсе не	2	16
16	с точки	2	15
17	все эти	2	15
18	самом деле	2	14
19	так и	19	14
20	в своей	12	14
21	с ним	2	14
22	во всех	4	13
23	и все	3	13
24	но в	8	13
25	как и	27	13
26	по отношению	9	13
27	и потому	3	12
28	том что	19	12
29	то же	7	12
30	что он	5	12
31	в самом	7	12
32	для него	8	12
33	все это	5	12
34	сказать что	2	11
35	его в	4	11
36	отношению к	9	11
37	только в	9	11
38	никогда не	7	10
39	за пределы	3	10
40	не только	40	10
41	но и	26	10
42	не в	9	10
43	он не	9	10
44	в том	16	10
45	мы уже	2	10
46	все что	2	10
47	один из	6	10
48	тот же	3	10
49	могут быть	4	9
50	к этому	3	9
51	те же	3	9
52	совершенно не	3	9
53	в чем	2	9
54	уже не	9	9
55	и на	5	9
56	мы не	4	9
57	а не	16	9
58	во всяком	6	9
59	с его	15	9
60	все же	6	8
61	с этим	4	8
62	было бы	6	8
63	и вот	2	8
64	еще не	7	8
65	а в	17	8
66	в ней	2	8
67	на этом	2	8
68	всяком случае	6	8
69	при этом	19	8
70	так сказать	2	7
71	не могут	2	7
72	в жизни	2	7
73	в то	8	7
74	в себе	7	7
75	что в	15	7
76	и ее	3	7
77	и для	4	7
78	отношение к	2	7
79	роль в	5	7
80	я и	6	7
81	не является	5	7
82	того что	4	7
83	но не	13	7
84	об этом	3	7
85	связь с	3	7
86	в нем	3	7
87	и к	7	7
88	из них	4	7
89	и прежде	2	7
90	жизни и	2	7
91	в этой	10	7
92	одно из	3	6
93	мы имеем	5	6
94	из этих	4	6
95	человека и	2	6
96	не менее	9	6
97	в таком	2	6
98	в пределах	5	6
99	она не	3	6
100	к тому	10	6
101	можно сказать	5	6
102	в свою	9	6
103	здесь в	2	6
104	как раз	8	6
105	и что	2	6
106	же время	7	6
107	во время	2	6
108	в основе	2	6
109	по поводу	5	5
110	ничего не	3	5
111	со стороны	12	5
112	тех же	2	5
113	т.е в	2	5
114	что она	3	5
115	с их	3	5
116	и по	3	5
117	во второй	8	5
118	со всеми	2	5
119	между ними	3	5
120	в этих	2	5
121	как это	7	5
122	не знает	2	5
123	что и	10	5
124	ее в	2	5
125	в общем	4	5
126	далеко не	8	5
127	в своих	3	5
128	в большинстве	2	5
129	это не	4	5
130	той же	7	5
131	отнюдь не	7	5
132	не было	3	5
133	в ее	5	5
134	с ними	2	5
135	он сам	2	5
136	и до	2	5
137	говорить о	6	5
138	в себя	6	5
139	вместе с	3	5
140	данном случае	11	4
141	человека в	3	4
142	одна из	6	4
143	в таких	2	4
144	но это	3	4
145	с ее	3	4
146	в другом	3	4
147	тем не	3	4
148	этом отношении	3	4
149	внутренней и	2	4
150	если бы	2	4
151	таком случае	2	4
152	и может	2	4
153	на всех	3	4
154	не всегда	4	4
155	свою очередь	7	4
156	у него	2	4
157	как в	9	4
158	в своем	7	4
159	по своему	3	4
160	едва ли	6	4
161	не тот	2	4
162	именно в	4	4
163	и внешней	3	4
164	о себе	4	4
165	личности и	4	4
166	и т.п	7	4
167	по себе	6	4
168	в целом	8	4
169	сам по	2	4
170	себя и	2	4
