N	3gram	Propp_Morf	Literetu
1	в том что	4	21
2	по отношению к	7	12
3	с одной стороны	2	12
4	в данном случае	2	11
5	не может быть	9	11
6	состоит в том	3	11
7	о том что	3	10
8	в этом отношении	2	10
9	с точки зрения	6	8
10	с другой стороны	5	7
11	подобно тому как	5	6
12	тем не менее	6	5
13	в связи с	9	5
14	бы то ни	3	4
15	то ни было	2	4
16	во всяком случае	2	3
17	на самом деле	4	3
18	на то что	3	3
19	для того чтобы	3	2
20	на первый взгляд	3	2
21	в этом случае	10	2
22	к тому что	4	2
23	можно было бы	2	2
