N	2gram	Potebnia_M	Freidism
1	и не	34	34
2	таким образом	21	34
3	точки зрения	8	31
4	не может	30	30
5	может быть	47	28
6	и в	58	28
7	в этом	18	28
8	прежде всего	8	26
9	в его	7	25
10	и его	7	22
11	мы можем	10	20
12	как бы	12	19
13	как мы	3	18
14	то что	24	17
15	вовсе не	13	16
16	так как	29	15
17	жизни человека	2	15
18	с точки	4	15
19	все эти	3	15
20	самом деле	2	14
21	так и	17	14
22	в своей	3	14
23	с ним	7	14
24	во всех	12	13
25	и все	6	13
26	в душе	28	13
27	но в	12	13
28	как и	16	13
29	по отношению	15	13
30	и потому	7	12
31	том что	21	12
32	то же	13	12
33	что он	5	12
34	мы видели	5	12
35	ни в	2	12
36	в самом	5	12
37	для него	13	12
38	все это	3	12
39	сказать что	5	11
40	его в	3	11
41	отношению к	13	11
42	мы знаем	2	11
43	только в	36	11
44	никогда не	7	10
45	и с	3	10
46	в сознание	2	10
47	за пределы	4	10
48	не только	32	10
49	но и	26	10
50	не в	23	10
51	он не	4	10
52	в том	38	10
53	все что	5	10
54	один из	2	10
55	что же	3	10
56	тот же	5	10
57	мы должны	4	9
58	могут быть	17	9
59	к этому	3	9
60	те же	4	9
61	к нему	2	9
62	в чем	6	9
63	уже не	4	9
64	и на	8	9
65	мы не	17	9
66	а не	38	9
67	во всяком	9	9
68	с его	3	9
69	все же	11	8
70	с этим	11	8
71	душевной жизни	15	8
72	было бы	21	8
73	по мнению	4	8
74	оно и	4	8
75	еще не	9	8
76	с другими	3	8
77	а в	11	8
78	в ней	9	8
79	на этом	3	8
80	всяком случае	7	8
81	при этом	17	8
82	в каком	7	7
83	так сказать	5	7
84	не могут	10	7
85	в жизни	5	7
86	в то	6	7
87	в себе	22	7
88	что в	34	7
89	хотя бы	4	7
90	и для	8	7
91	того что	15	7
92	и у	3	7
93	но не	19	7
94	что все	4	7
95	с самого	5	7
96	связь с	2	7
97	в нем	26	7
98	если мы	5	7
99	из них	2	7
100	жизни и	3	7
101	в этой	3	7
102	одно из	5	6
103	на самом	2	6
