N	2gram	Vygotskiy_	Sovremen
1	не может	15	17
2	точки зрения	15	12
3	может быть	34	12
4	таким образом	35	11
5	мы не	8	9
6	в каждом	2	8
7	не можем	8	7
8	и в	55	7
9	в этом	30	7
10	и не	19	6
11	ничего не	4	6
12	как и	9	6
13	только одна	2	6
14	в результате	6	6
15	мы можем	8	6
16	с точки	5	5
17	все эти	5	5
18	и наконец	5	5
19	прежде всего	6	5
20	нет и	2	4
21	вопрос о	6	4
22	мы видели	2	4
23	зависимости от	9	4
24	это не	9	4
25	не только	24	4
26	в том	50	4
27	в зависимости	7	4
28	мы должны	10	4
29	как бы	33	4
30	их в	4	4
31	так как	20	4
32	если мы	24	4
33	в целом	7	4
34	жизни и	8	4
35	вместе с	16	4
36	а в	7	4
37	из них	7	4
38	с помощью	3	4
39	для нас	9	3
40	и мы	28	3
41	следующим образом	2	3
42	он может	3	3
43	когда мы	10	3
44	и потому	8	3
45	но в	7	3
46	с самого	5	3
47	при этом	11	3
48	из двух	3	3
49	но мы	4	3
50	не в	12	3
51	все же	11	3
52	он в	3	3
53	как он	6	3
54	было бы	15	3
55	в области	2	3
56	уже в	7	3
57	в себе	13	3
58	еще не	6	3
59	одна из	6	3
60	у нас	7	3
61	и все	15	3
62	все это	8	3
63	в нем	13	3
64	между собой	2	3
65	а не	16	3
66	и к	5	3
67	что она	10	3
68	в этой	15	3
69	при таком	4	3
70	мы получим	2	3
71	то же	16	3
72	мы называем	2	3
73	в одном	5	3
74	отличается от	4	3
75	самого начала	5	3
76	в конце	10	3
77	ясно что	10	3
78	ли мы	3	3
79	с совершенно	3	2
80	но все	5	2
81	на его	4	2
82	на этот	7	2
83	же самое	13	2
84	что все	12	2
85	быть и	2	2
86	той же	6	2
87	дает нам	2	2
88	не могут	4	2
89	мы видим	13	2
90	в его	8	2
91	он должен	8	2
92	с этим	4	2
93	и что	45	2
94	во всяком	2	2
95	и во	2	2
96	с другом	6	2
97	что такое	2	2
98	приводит к	2	2
99	что при	5	2
100	из этих	4	2
101	в самом	18	2
102	и есть	7	2
103	в виде	3	2
104	еще более	2	2
105	знаем что	5	2
106	что в	43	2
107	времени и	5	2
108	совершенно не	11	2
109	все те	3	2
110	ни одна	2	2
111	в таком	4	2
112	в которой	4	2
113	у него	9	2
114	такой же	2	2
115	из четырех	2	2
116	в некоторых	2	2
117	самом деле	17	2
118	в свою	3	2
119	по мнению	6	2
120	если же	3	2
121	в нашем	3	2
122	для его	2	2
123	могут быть	8	2
124	в отличие	3	2
125	же мы	3	2
126	отличие от	3	2
127	тот же	5	2
128	с одной	15	2
129	на этом	11	2
130	как мы	6	2
131	мы с	3	2
132	не дает	2	2
133	мы знаем	4	2
134	что это	15	2
135	этих двух	8	2
136	или иной	2	2
137	из которых	5	2
138	и даже	4	2
139	и именно	8	2
140	тем же	3	2
141	друг с	6	2
