N	2gram	Bakhtin_Pr	formyVre
1	и в	38	148
2	в этом	15	73
3	то есть	46	70
4	в романе	4	58
5	в нем	15	51
6	прежде всего	13	46
7	и т	14	40
8	и не	42	37
9	в его	43	36
10	и его	16	36
11	вовсе не	2	35
12	но и	9	33
13	то же	5	32
14	т п	13	32
15	не только	9	32
16	но в	4	31
17	так и	5	29
18	может быть	26	27
19	не в	7	26
20	как мы	7	26
21	как и	7	25
22	как бы	22	25
23	точки зрения	8	24
24	в то	4	23
25	человека в	2	23
26	только в	13	23
27	то что	8	22
28	в том	8	22
29	все эти	5	21
30	связи с	2	21
31	во всех	11	21
32	же время	3	21
33	в своем	5	19
34	и др	8	19
35	и для	11	19
36	и на	3	19
37	и все	3	18
38	по существу	2	18
39	еще не	7	18
40	таким образом	10	18
41	при этом	5	17
42	в особенности	2	17
43	в пределах	6	17
44	все же	6	16
45	и во	2	16
46	в связи	2	16
47	в основе	5	16
48	не может	27	16
49	никогда не	5	15
50	в них	5	15
51	лишь в	2	15
52	в дальнейшем	3	15
53	с точки	6	15
54	с его	2	15
55	все это	3	14
56	и как	8	14
57	и с	17	14
58	а не	5	14
59	в их	10	13
60	в частности	2	13
61	а в	6	13
62	здесь в	2	13
63	того чтобы	2	13
64	для того	2	13
65	как в	4	13
66	в котором	2	13
67	в самом	7	13
68	с ним	5	13
69	ничего не	6	12
70	отнюдь не	19	12
71	в истории	2	12
72	не было	2	12
73	конечно не	5	12
74	и наконец	6	12
75	но не	12	12
76	он не	3	12
77	что в	7	12
78	его в	9	11
79	и у	2	11
80	между ними	4	11
81	в ней	4	11
82	хотя и	3	11
83	ни в	11	11
84	и проч	28	10
85	здесь не	4	10
86	в ее	4	10
87	кроме того	3	10
88	и другие	2	10
89	также и	3	10
90	входит в	8	10
91	в большинстве	5	10
92	на основе	6	10
93	могут быть	5	9
94	к себе	2	9
95	и других	2	9
96	в других	4	9
97	том что	3	9
98	должно быть	5	9
99	и даже	3	9
100	и это	3	9
101	с другой	7	9
102	в самой	2	9
103	оно не	3	9
104	здесь нет	2	9
105	отношения к	6	9
106	это не	5	8
107	или иной	2	8
108	и прежде	5	8
109	и потому	4	8
110	в произведении	4	8
111	отношение к	10	8
112	в целом	3	8
113	большинстве случаев	5	8
114	что и	2	8
115	здесь мы	2	8
116	если бы	3	8
117	в этих	2	8
118	со всеми	3	8
119	отношению к	19	8
120	с одной	3	8
121	в мире	3	8
122	рядом с	5	8
123	и к	3	8
124	в некоторых	2	8
125	в виду	4	8
126	на фоне	3	8
127	в себе	4	7
128	том же	2	7
129	отличие от	5	7
130	не знает	3	7
131	того что	2	7
132	место в	8	7
133	было бы	8	7
134	себя и	3	7
135	мир в	2	7
136	например в	3	7
137	имеет место	5	7
138	к этому	2	7
139	и он	2	7
140	этом отношении	2	7
141	в отличие	5	7
142	в форме	4	7
143	в себя	2	7
144	все они	5	6
145	не могут	2	6
146	и ее	2	6
147	есть не	2	6
148	а как	3	6
149	с самим	2	6
150	одной из	3	6
151	более того	4	6
152	одной стороны	3	6
153	входят в	3	6
154	сказать что	4	6
155	в начале	2	6
156	особенно в	2	6
157	за пределы	12	6
158	мы можем	6	6
159	на первый	2	6
160	значение имеет	3	6
161	не является	3	6
162	здесь все	2	6
163	смысле слова	2	6
164	нет и	3	6
165	о том	4	6
166	все что	3	6
167	в таком	3	6
168	слова и	3	6
169	с помощью	7	6
170	не имеют	2	5
171	и вообще	2	5
172	произведения и	2	5
173	он должен	2	5
174	эти моменты	2	5
175	в него	2	5
176	в едином	2	5
177	они не	3	5
178	с другими	3	5
179	но здесь	3	5
180	что все	2	5
181	здесь же	2	5
182	там где	6	5
183	с ними	4	5
184	той или	2	5
185	не на	5	5
186	и от	3	5
187	хотя бы	4	5
188	мы имеем	2	5
189	в своей	7	5
190	тем что	2	5
191	чем не	2	5
192	или как	3	5
193	но они	4	5
194	быть только	5	5
195	первый план	2	5
196	самим собою	2	5
197	конечно и	4	5
198	не имеет	9	5
199	далеко не	5	5
