N	2gram	Tiupa_Teor	OGranits
1	и в	24	13
2	и его	11	12
3	прежде всего	3	9
4	и не	17	8
5	не может	8	8
6	может быть	22	8
7	в его	12	7
8	точки зрения	11	7
9	эстетический объект	4	7
10	и т.п	7	7
11	не только	24	6
12	как бы	8	6
13	таким образом	3	6
14	только в	9	6
15	то что	6	6
16	в поэзии	2	5
17	и т.д	4	5
18	эстетического объекта	3	5
19	с точки	3	5
20	художественного произведения	5	5
21	еще и	2	4
22	но в	12	4
23	только и	2	4
24	лишь в	10	4
25	то же	12	4
26	не является	5	4
27	в своей	8	4
28	материала в	2	4
29	все это	2	4
30	на фоне	2	4
31	никогда не	4	3
32	одно и	2	3
33	и для	3	3
34	и то	3	3
35	в ее	6	3
36	превращается в	2	3
37	отношению к	10	3
38	как и	6	3
39	в пределах	5	3
40	не в	9	3
41	в их	4	3
42	говорить о	4	3
43	в себе	14	3
44	что в	10	3
45	по отношению	10	3
46	самом деле	2	3
47	за пределы	2	3
48	так и	14	3
49	в которой	3	3
50	к одному	2	3
51	в одном	3	3
52	в искусстве	9	3
53	здесь мы	2	3
54	но и	14	3
55	не столько	7	3
56	в самом	7	2
57	могут быть	5	2
58	собственно говоря	2	2
59	своего рода	11	2
60	в этом	12	2
61	в них	2	2
62	для себя	3	2
63	данном случае	5	2
64	в том	20	2
65	в отношении	4	2
66	несмотря на	2	2
67	в целом	4	2
68	если бы	3	2
69	в произведении	3	2
70	с одной	3	2
71	или иного	6	2
72	всей своей	2	2
73	роль в	3	2
74	и др	3	2
75	ее в	2	2
76	во времени	4	2
77	с другой	9	2
78	от всех	2	2
79	а в	15	2
80	и тем	5	2
81	том что	11	2
82	того или	6	2
83	а также	7	2
84	и к	3	2
85	в связи	3	2
86	в данном	9	2
87	не менее	6	2
88	с ними	2	2
89	все эти	3	2
90	художественное произведение	3	2
91	в области	7	2
92	так же	2	2
93	от своего	2	2
94	что они	2	2
95	героя и	6	2
96	с этой	3	2
97	в нем	7	2
98	не на	4	2
99	истории литературы	2	2
100	при этом	20	2
101	и ее	4	2
102	а не	14	2
103	во всей	3	2
104	вслед за	3	2
105	литературного произведения	11	2
106	на две	3	2
107	входит в	4	2
108	как в	5	2
109	другой стороны	6	2
110	мог бы	3	2
111	и является	2	2
112	одной стороны	3	2
113	между тем	5	2
114	в чем	2	2
115	имеет место	3	2
116	соответствии с	2	2
117	в другом	4	2
118	вовсе не	3	2
119	к тому	4	2
120	для него	5	2
121	в структуре	2	2
