N	3gram	Ircho_Kome	VerxiiNi
1	вместе с тем	5	8
2	с одной стороны	4	7
3	с точки зрения	6	6
4	во всяком случае	3	6
5	для того чтобы	8	5
6	до сих пор	12	5
7	друг с другом	3	5
8	в том числе	2	5
9	более или менее	2	5
10	но все же	3	4
11	к тому же	9	4
12	о том что	7	4
13	том числе и	2	4
14	в конце концов	3	3
15	так или иначе	3	3
16	тем не менее	3	3
17	в том что	15	3
18	в связи с	3	3
19	то ни было	3	2
20	бы то ни	3	2
21	то же самое	3	2
22	как бы то	2	2
23	в то же	11	2
24	то же время	11	2
25	с самого начала	5	2
26	на пути к	2	2
27	в этом отношении	2	2
28	по сравнению с	3	2
