N	2gram	Tiupa_Vved	Tragedij
1	и в	23	18
2	в романе	6	10
3	в году	2	9
4	в этом	27	9
5	не только	32	8
6	и не	24	7
7	и на	5	7
8	как бы	8	7
9	и с	2	7
10	может быть	25	7
11	же время	4	6
12	что он	2	6
13	но в	14	6
14	и его	9	6
15	у него	8	6
16	несмотря на	2	5
17	что это	2	5
18	к жизни	2	5
19	все же	10	5
20	это не	7	5
21	то же	8	5
22	как и	21	5
23	так и	14	5
24	не может	14	5
25	в то	5	5
26	что в	6	4
27	еще не	8	4
28	в целом	4	4
29	но и	31	4
30	прежде всего	11	4
31	об этом	5	4
32	том что	16	4
33	в этой	2	4
34	и что	2	4
35	так же	2	4
36	и все	8	4
37	все это	3	4
38	в нем	9	4
39	что я	2	4
40	то что	9	4
41	но это	4	4
42	и даже	3	4
43	в себе	15	4
44	один из	3	3
45	своего рода	20	3
46	и как	2	3
47	в мире	9	3
48	уже в	2	3
49	тем самым	6	3
50	к нему	2	3
51	в своем	9	3
52	при этом	43	3
53	в его	9	3
54	мог бы	2	3
55	и он	4	3
56	отнюдь не	14	3
57	о чем	4	3
58	с ее	3	3
59	и сам	2	3
60	как будто	6	3
61	как в	8	3
62	как это	2	3
63	для него	5	3
64	то есть	13	3
65	в конце	3	3
66	с ним	3	3
67	ни как	2	2
68	никогда не	6	2
69	в рассказе	15	2
70	в самом	6	2
71	данном случае	15	2
72	по поводу	5	2
73	до конца	5	2
74	одна из	5	2
75	тем что	2	2
76	перед нами	13	2
77	в одном	5	2
78	любви и	2	2
79	не имеет	3	2
80	раз и	2	2
81	ничего не	3	2
82	то и	2	2
83	в данном	22	2
84	к тому	9	2
85	о том	7	2
86	в ходе	3	2
87	что и	6	2
88	тут же	3	2
89	не в	12	2
90	столь же	3	2
91	и здесь	2	2
92	это уже	2	2
93	потому что	7	2
94	о жизни	2	2
95	было в	2	2
96	не просто	2	2
97	в частности	19	2
98	как у	3	2
99	в таком	2	2
100	он не	6	2
101	и ее	2	2
102	в первом	3	2
103	бы и	4	2
104	уже не	7	2
105	что она	2	2
106	и это	2	2
107	но они	3	2
108	отличие от	11	2
109	в том	21	2
110	году в	2	2
111	но при	7	2
112	который в	5	2
113	в отличие	11	2
114	не мог	2	2
115	еще в	3	2
116	он и	2	2
117	времени в	3	2
118	отношение к	5	2
