N	3gram	Bakhtin_Fr	Dialekti
1	с точки зрения	5	46
2	в том что	8	25
3	не может быть	4	18
4	то же время	14	15
5	в то же	14	14
6	ровно ничего не	2	12
7	о том что	5	12
8	с другой стороны	2	12
9	в самом деле	2	10
10	имеется в виду	2	9
11	подобно тому как	2	9
12	это и есть	2	9
13	в то время	3	8
14	можно сказать что	4	7
15	в связи с	5	7
16	и прежде всего	4	6
17	более или менее	2	6
18	для того чтобы	8	6
19	в нем есть	2	6
20	как и все	5	6
21	не нуждается в	2	6
22	с одной стороны	2	6
23	и в то	3	6
24	на самом деле	4	5
25	на первый план	3	5
26	до сих пор	3	5
27	потому что она	2	5
28	потому что он	3	5
29	то же самое	3	4
30	так же как	4	4
31	и даже в	2	4
32	в данном случае	4	4
33	к тому же	3	4
34	в этом отношении	7	4
35	можно было бы	2	4
36	связи с этим	3	4
37	же как и	2	3
38	и как бы	2	3
39	самом же деле	4	3
40	в чем же	3	3
41	но в то	6	3
42	мы находим в	2	3
43	с самого начала	3	3
44	это конечно не	4	3
45	о том как	2	3
46	на самом же	4	3
47	друг с другом	2	2
48	и не в	2	2
49	хотя бы в	2	2
50	и вовсе не	3	2
51	в нем не	4	2
52	мы видим что	2	2
53	что и в	2	2
54	дело в том	4	2
55	мы уже сказали	3	2
56	если же вы	2	2
57	можно говорить о	2	2
58	они вовсе не	2	2
