N	2gram	Nazirov_Tv	Sovremen
1	не может	9	17
2	может быть	11	12
3	таким образом	14	11
4	мы не	3	9
5	в каждом	4	8
6	и в	40	7
7	в этом	11	7
8	и не	12	6
9	ничего не	3	6
10	как и	16	6
11	все эти	3	5
12	и наконец	3	5
13	прежде всего	10	5
14	это не	9	4
15	не только	16	4
16	в том	13	4
17	как бы	26	4
18	так как	6	4
19	в дальнейшем	7	4
20	в целом	7	4
21	жизни и	3	4
22	вместе с	4	4
23	а в	10	4
24	из них	4	4
25	может не	2	3
26	и потому	4	3
27	но в	11	3
28	с самого	3	3
29	при этом	14	3
30	не в	3	3
31	все же	9	3
32	было бы	2	3
33	уже в	5	3
34	в себе	3	3
35	еще не	5	3
36	одна из	5	3
37	у нас	2	3
38	и все	6	3
39	все это	14	3
40	в нем	4	3
41	между собой	2	3
42	а не	9	3
43	в первом	3	3
44	что она	5	3
45	в этой	7	3
46	то же	19	3
47	в одном	3	3
48	самого начала	3	3
49	отнюдь не	9	3
50	в конце	5	3
51	на его	4	2
52	на этот	3	2
53	и по	5	2
54	всяком случае	2	2
55	что все	4	2
56	значение в	2	2
57	которой он	2	2
58	роль в	2	2
59	не менее	8	2
60	той же	4	2
61	не могут	2	2
62	в новых	2	2
63	мы видим	3	2
64	в его	19	2
65	с этим	2	2
66	и что	2	2
67	во всяком	2	2
68	приводит к	4	2
69	свою очередь	2	2
70	так сказать	4	2
71	в самом	6	2
72	и есть	2	2
73	в виде	4	2
74	еще более	3	2
75	что в	17	2
76	времени и	4	2
77	№ с	2	2
78	в таком	4	2
79	в которой	5	2
80	у него	11	2
81	такой же	4	2
82	самом деле	4	2
83	со всеми	3	2
84	уже не	6	2
85	в свою	8	2
86	по мнению	4	2
87	могут быть	4	2
88	в один	3	2
89	в отличие	3	2
90	отличие от	3	2
91	настоящее время	2	2
92	тот же	3	2
93	с одной	2	2
94	мы знаем	2	2
95	и будет	2	2
96	тем не	2	2
97	о жизни	4	2
98	как известно	3	2
99	и даже	8	2
100	в которую	2	2
101	развития в	2	2
