N	2gram	Tiupa_Vved	EvropaiE
1	и в	23	37
2	в пределах	3	25
3	что в	6	21
4	не только	32	18
5	в то	5	16
6	хотя бы	2	15
7	то же	8	15
8	в своем	9	14
9	но в	14	14
10	но и	31	14
11	и не	24	14
12	же время	4	14
13	в качестве	18	14
14	в этом	27	12
15	в том	21	11
16	в их	2	11
17	в области	5	11
18	так и	14	10
19	так же	2	9
20	не может	14	9
21	отнюдь не	14	9
22	в себе	15	9
23	прежде всего	11	9
24	только в	9	9
25	одной стороны	9	8
26	между тем	3	8
27	было бы	4	8
28	в своей	10	8
29	с одной	9	8
30	к тому	9	8
31	по своему	3	7
32	также и	6	7
33	с другой	10	7
34	а также	12	7
35	как и	21	7
36	того что	7	7
37	том что	16	6
38	вслед за	3	6
39	во всех	2	6
40	то есть	13	6
41	и даже	3	6
42	может быть	25	6
43	и на	5	6
44	стороны и	4	6
45	того чтобы	2	6
46	на то	3	6
47	то что	9	6
48	как бы	8	6
49	но не	9	5
50	тем самым	6	5
51	и по	3	5
52	и потому	2	5
53	столь же	3	5
54	в той	5	5
55	как мы	5	5
56	со стороны	15	5
57	не в	12	5
58	в частности	19	5
59	в течение	2	5
60	даже в	3	4
61	и притом	3	4
62	не имеет	3	4
63	или иной	5	4
64	можно сказать	6	4
65	в перспективе	2	4
66	в самом	6	4
67	мы не	6	4
68	в ней	5	4
69	для нас	4	4
70	по себе	2	4
71	несмотря на	2	4
72	тем более	3	4
73	мира в	8	4
74	в направлении	2	4
75	той или	5	4
76	не на	3	4
77	как это	2	4
78	никогда не	6	3
79	и от	3	3
80	и для	8	3
81	и только	2	3
82	в данной	2	3
83	о том	7	3
84	очевидно что	2	3
85	к ним	4	3
86	ли это	2	3
87	идет о	3	3
88	в данном	22	3
89	всего лишь	7	3
90	в которых	2	3
91	в сфере	7	3
92	можно было	2	3
93	мира и	5	3
94	бы и	4	3
95	в свою	5	3
96	и к	2	3
97	в результате	5	3
98	мы можем	2	3
99	но на	2	3
100	от них	2	3
101	в них	4	3
102	всяком случае	3	3
103	место в	2	3
104	на себя	5	3
105	мы видели	3	3
106	что и	6	3
107	и тем	3	3
108	по своим	3	3
109	тем что	2	3
110	этом отношении	7	3
111	не является	7	3
112	жизни в	5	3
113	в культуре	2	3
114	потому что	7	3
115	она в	2	3
116	в таком	2	3
117	представляет собой	18	3
118	заключает в	4	3
119	как в	8	3
120	связано с	3	3
121	во всяком	3	3
122	есть в	2	2
123	исключительно в	3	2
124	данном случае	15	2
125	в мире	9	2
126	на этот	2	2
127	если в	3	2
128	в его	9	2
129	не есть	2	2
130	начиная с	3	2
131	что это	2	2
132	мира не	2	2
133	к нему	2	2
134	а в	15	2
135	в котором	11	2
136	заметить что	2	2
137	как оно	2	2
138	далеко не	5	2
139	в своих	5	2
140	от друга	2	2
141	и с	2	2
142	бы в	4	2
143	в случае	4	2
144	что на	4	2
145	во втором	4	2
146	могут быть	5	2
147	другой стороны	3	2
148	в значительной	2	2
149	по своей	4	2
150	в европейской	2	2
151	в одном	5	2
152	и как	2	2
153	не можем	2	2
154	мог бы	2	2
155	что же	6	2
156	целый ряд	2	2
157	если бы	10	2
158	которое в	4	2
159	для них	3	2
160	иначе говоря	8	2
161	в этих	5	2
162	но также	2	2
163	жизни и	8	2
164	войны и	5	2
165	в силу	2	2
166	частности в	2	2
167	еще более	2	2
168	именно к	2	2
169	и того	3	2
170	а не	31	2
171	большей части	4	2
172	или иному	2	2
173	и что	2	2
174	и во	2	2
175	или точнее	2	2
176	и наконец	2	2
177	свою очередь	5	2
178	же в	3	2
179	точка зрения	3	2
180	но именно	3	2
181	и все	8	2
182	или в	3	2
183	друг от	2	2
184	наряду с	2	2
185	таким образом	6	2
186	а именно	3	2
187	он не	6	2
188	как будто	6	2
189	не к	4	2
190	в этой	2	2
191	тому или	2	2
192	между собой	2	2
193	хотя и	10	2
194	в какой	4	2
195	должна быть	3	2
196	вместе с	2	2
197	заключается в	2	2
198	на основе	2	2
199	и более	5	2
200	имеет место	6	2
