N	3gram	Tiupa_Teor	Psycholo
1	в том что	10	78
2	для того чтобы	5	70
3	в самом деле	2	51
4	с точки зрения	3	29
5	с одной стороны	3	28
6	не может быть	5	23
7	и в самом	2	22
8	к тому что	2	20
9	с другой стороны	6	20
10	не только не	2	16
11	этой точки зрения	2	12
12	в конечном счете	6	11
13	подобно тому как	3	11
14	с этой точки	2	10
15	том что он	2	10
16	в данном случае	5	9
17	в отличие от	7	9
18	и то же	2	8
19	а с другой	2	7
20	состоит в том	6	7
21	в свою очередь	3	7
22	можно сказать что	3	7
23	как и в	2	7
24	одно и то	2	7
25	в этом смысле	3	7
26	более или менее	6	6
27	тем не менее	3	6
28	сама по себе	2	6
29	того или иного	6	6
30	что в основе	2	5
31	в таком случае	2	5
32	несет в себе	3	4
33	одного и того	4	4
34	в основе своей	2	4
35	и того же	4	4
36	бы то ни	2	3
37	может быть и	2	3
38	но он не	2	3
39	в русской поэзии	2	3
40	не могут быть	2	3
41	в то же	8	3
42	в отношении к	2	3
43	приводит к тому	2	3
44	по отношению к	10	3
45	то же время	8	3
46	мы имеем в	3	2
47	той или иной	3	2
48	то ни было	2	2
49	в области искусства	2	2
50	не в самом	2	2
51	в связи с	3	2
52	тех или иных	3	2
53	имеем в виду	3	2
54	тем или иным	2	2
55	и тем самым	2	2
56	так или иначе	5	2
57	мы имеем дело	2	2
