N	2gram	Bakhtin_Fr	Hudozhes
1	в качестве	5	31
2	то есть	49	26
3	и в	67	23
4	не только	23	20
5	в том	16	20
6	может быть	4	19
7	при этом	5	19
8	в частности	4	18
9	и не	23	16
10	но и	23	14
11	а в	4	13
12	в себе	3	13
13	но не	6	13
14	а не	6	13
15	то же	18	12
16	в этом	27	12
17	и его	19	12
18	так и	14	12
19	как бы	18	11
20	точки зрения	7	11
21	в его	17	11
22	но в	20	10
23	не в	8	9
24	том что	13	9
25	не может	9	9
26	с другой	3	9
27	своего рода	7	9
28	в искусстве	3	9
29	в то	17	8
30	в области	2	8
31	в самом	7	7
32	и т.п	31	7
33	лишь в	3	7
34	в своей	6	7
35	только в	6	7
36	же время	14	7
37	как это	5	7
38	что в	14	7
39	отличие от	3	7
40	в отличие	3	7
41	в основе	6	7
42	не столько	5	7
43	более или	2	6
44	другой стороны	2	6
45	а также	4	6
46	в нем	20	6
47	с ее	7	6
48	можно сказать	4	6
49	в ее	2	6
50	с его	11	6
51	или менее	2	6
52	ни в	5	5
53	с другими	3	5
54	самим собой	2	5
55	между ними	4	5
56	и одновременно	5	5
57	место в	3	5
58	как к	2	5
59	для того	8	5
60	того чтобы	9	5
61	в виду	2	5
62	в их	4	5
63	что он	7	5
64	то что	9	5
65	не менее	4	5
66	прежде всего	19	5
67	того что	4	5
68	для него	4	5
69	и то	2	4
70	сказать что	12	4
71	в отношении	2	4
72	его в	10	4
73	далеко не	6	4
74	это не	5	4
75	так в	3	4
76	к тому	4	4
77	между тем	3	4
78	во времени	2	4
79	в данном	4	4
80	и т.д	2	4
81	во втором	3	4
82	в форме	2	4
83	в другом	4	4
84	и как	7	4
85	еще не	5	4
86	и что	3	4
87	говорить о	5	4
88	он не	9	4
89	и о	8	4
90	например в	6	4
91	в себя	6	4
92	в своем	13	4
93	хотя и	6	4
94	даже в	5	3
95	в жизни	4	3
96	к нему	5	3
97	и для	4	3
98	по своему	5	3
99	и притом	2	3
100	и ее	2	3
101	не случайно	3	3
102	в романе	15	3
103	как и	19	3
104	в акте	5	3
105	того же	6	3
106	их в	2	3
107	но их	2	3
108	потому что	8	3
109	о чем	5	3
110	одной стороны	2	3
111	по преимуществу	2	3
112	том числе	6	3
113	в целом	2	3
114	говорит и	2	3
115	и к	7	3
116	во всех	20	3
117	человека с	5	3
118	а именно	2	3
119	из этих	4	3
120	связи с	7	3
121	и на	12	3
122	тому как	2	3
123	если бы	2	3
124	в той	2	3
125	не будет	2	3
126	и прежде	4	3
127	как раз	5	3
128	с точки	5	3
129	он должен	2	3
130	подобно тому	2	3
131	себя и	2	3
132	в связи	5	3
133	текст в	2	3
134	таким образом	20	3
135	в таком	2	3
136	и сам	2	3
137	есть в	5	3
138	всех и	4	3
139	на языке	3	3
140	в пределах	2	3
141	в одном	7	3
142	с одной	2	3
143	известной степени	4	3
144	но он	5	3
145	в системе	2	3
146	никогда не	6	2
147	о том	8	2
148	одной из	6	2
149	он оказывается	2	2
150	в литературе	4	2
151	как в	4	2
152	чтобы не	2	2
153	начиная с	2	2
154	и др	11	2
155	всей своей	2	2
156	одно из	2	2
157	на время	5	2
158	право на	10	2
159	и это	5	2
160	еще один	2	2
161	от всех	6	2
162	то в	3	2
163	мира с	2	2
164	в самой	8	2
165	еще и	6	2
166	в чем	6	2
167	или в	3	2
168	это своего	2	2
169	именно в	5	2
170	жизни на	2	2
171	жизни в	3	2
172	все эти	12	2
173	тем более	3	2
174	времени в	2	2
175	мира и	10	2
176	не все	2	2
177	и существенно	2	2
178	времени и	4	2
179	образом и	2	2
180	что она	4	2
181	должен быть	2	2
182	за пределы	4	2
183	до известной	4	2
184	включает в	2	2
185	не как	3	2
186	но она	5	2
187	значения и	2	2
188	так же	13	2
189	об этом	5	2
190	на всех	2	2
191	но на	3	2
192	и по	3	2
193	он и	6	2
194	один из	6	2
195	втором случае	3	2
196	на котором	2	2
197	в них	12	2
198	которая не	2	2
199	не могло	3	2
200	несмотря на	3	2
201	на мир	7	2
202	роль в	5	2
203	на этом	7	2
204	это и	10	2
205	внешнем мире	2	2
206	вещами и	2	2
207	слова и	2	2
208	и больше	2	2
209	все это	15	2
210	в сторону	2	2
211	бы не	2	2
212	из этого	5	2
213	числе и	3	2
214	что и	8	2
215	в значительной	2	2
216	в году	6	2
217	в одно	2	2
218	одним из	7	2
219	к своему	2	2
220	и другие	5	2
221	более не	2	2
222	только о	2	2
223	нового времени	6	2
224	делает его	2	2
225	своей жизни	2	2
226	а затем	7	2
227	самом деле	6	2
228	в нашем	3	2
229	в этой	13	2
230	с ним	6	2
231	превращается в	5	2
232	вовсе не	19	2
233	если мы	3	2
234	у него	4	2
235	первой части	4	2
236	здесь не	7	2
