N	3gram	Voloshinov	Psycholo
1	в том что	9	78
2	для того чтобы	7	70
3	на то что	2	55
4	в самом деле	13	51
5	о том что	2	34
6	то же самое	8	31
7	с точки зрения	31	29
8	с одной стороны	2	28
9	до сих пор	10	23
10	не может быть	23	23
11	к тому что	4	20
12	с другой стороны	6	20
13	на самом деле	5	17
14	с самого начала	9	16
15	в зависимости от	2	15
16	во всяком случае	4	14
17	так же как	2	14
18	в этом отношении	4	14
19	само по себе	2	14
20	можно было бы	2	13
21	в конце концов	3	12
22	одной и той	2	12
23	и той же	2	12
24	том что он	3	10
25	в отличие от	7	9
26	и то же	3	8
27	друг с другом	2	8
28	смысле этого слова	6	8
29	на этот вопрос	3	7
30	в свою очередь	5	7
31	можно сказать что	4	7
32	одно и то	3	7
33	в этом смысле	2	7
34	более или менее	3	6
35	тем не менее	3	6
36	сама по себе	2	6
37	тех пор пока	2	6
38	того или иного	2	6
39	и тот же	3	6
40	не только в	2	6
41	сводится к тому	2	6
42	до тех пор	2	6
43	в таком случае	5	5
44	не было бы	3	5
45	ни в какой	2	5
46	в собственном смысле	2	5
47	же как и	2	5
48	как если бы	6	5
49	один и тот	3	5
50	самом деле если	2	4
51	все более и	2	4
52	лежит в основе	2	4
53	вопрос о том	2	4
54	от того что	2	4
55	одним и тем	2	4
56	к тому же	2	4
57	в настоящее время	6	4
58	и тем же	2	4
59	более и более	2	4
60	это и есть	2	4
61	точном смысле этого	4	4
62	и не может	11	4
63	одного и того	9	4
64	собственном смысле слова	2	4
65	и того же	9	4
66	бы то ни	11	3
67	и здесь мы	3	3
68	может быть и	8	3
69	только на почве	3	3
70	ничего общего с	2	3
71	в нем нет	4	3
72	в этом случае	3	3
73	не могут быть	3	3
74	и те же	5	3
75	в то же	7	3
76	в отношении к	7	3
77	по отношению к	9	3
78	то же время	7	3
79	в высшей степени	5	3
80	одни и те	5	3
81	той или иной	5	2
82	как мы видели	4	2
83	в первом случае	3	2
84	но при этом	2	2
85	так и в	2	2
86	то ни было	11	2
87	того чтобы понять	2	2
88	а следовательно и	2	2
89	как и все	2	2
90	но и в	3	2
91	в связи с	12	2
92	лежащая в основе	3	2
93	в чем же	2	2
94	а не к	2	2
95	в узком смысле	4	2
96	мы уже знаем	2	2
97	на первый план	2	2
98	отношения базиса и	2	2
99	как мы увидим	2	2
100	в точном смысле	5	2
101	так или иначе	2	2
