N	3gram	Tiupa_Narr	EvropaiC
1	в том что	11	16
2	до сих пор	3	15
3	по отношению к	5	11
4	более или менее	2	8
5	с точки зрения	2	8
6	для того чтобы	4	7
7	на то что	2	7
8	в самом деле	3	5
9	к тому же	8	5
10	начало и конец	3	4
11	тем не менее	6	4
12	о том что	3	4
13	не может быть	6	4
14	в данном случае	12	3
15	и того же	2	3
16	одного и того	2	3
17	в связи с	3	3
18	с одной стороны	5	2
19	заключает в себе	2	2
20	во всяком случае	2	2
21	то же время	7	2
22	а с другой	2	2
23	в то же	7	2
24	в свою очередь	2	2
25	друг на друга	2	2
