N	3gram	Propp_Morf	slovoVRo
1	не может быть	9	19
2	с точки зрения	6	15
3	в большинстве случаев	3	11
4	с одной стороны	2	11
5	и т д	60	10
6	более или менее	2	9
7	в этом случае	10	9
8	во всяком случае	2	8
9	с другой стороны	5	6
10	но все же	4	6
11	а вовсе не	2	5
12	в том что	4	5
13	в этом отношении	2	5
14	может быть и	2	5
15	по отношению к	7	5
16	для того чтобы	3	4
17	а также и	5	4
18	не могут быть	4	4
19	к тому что	4	3
20	как и в	3	3
21	в собственном смысле	3	3
22	в данном случае	2	3
23	в связи с	9	3
24	в первом случае	3	2
25	тем и другим	2	2
26	о том что	3	2
27	хотя и не	2	2
28	можно было бы	2	2
29	это не значит	2	2
30	в то время	3	2
31	то время как	3	2
32	тем не менее	6	2
