N	3gram	Tiupa_Anal	Freidism
1	с точки зрения	6	15
2	не может быть	17	14
3	по отношению к	9	11
4	в самом деле	3	10
5	в том что	13	9
6	в то же	9	6
7	то же время	7	6
8	в таком случае	5	4
9	тем не менее	3	4
10	во внешнем мире	2	4
11	в этом отношении	5	4
12	не могут быть	2	4
13	в данном случае	3	4
14	бы то ни	3	3
15	далеко не всегда	2	3
16	но в то	2	3
17	и тот же	2	3
18	о том что	8	3
19	для того чтобы	3	3
20	в конечном счете	5	3
21	и не может	4	3
22	нет и не	2	3
23	то ни было	3	2
24	то же самое	3	2
25	том что он	2	2
26	к тому что	2	2
27	как раз и	2	2
28	в отличие от	8	2
29	с одной стороны	6	2
30	в этом смысле	3	2
