N	2gram	Voloshinov	DiskursI
1	в качестве	4	72
2	а не	15	60
3	может быть	50	56
4	не только	18	49
5	и в	32	49
6	как и	19	47
7	при этом	13	46
8	в том	13	44
9	и не	42	44
10	то есть	2	41
11	том что	12	40
12	в этом	27	38
13	в себе	5	37
14	в частности	2	36
15	но и	17	35
16	и т.п	17	32
17	но не	2	31
18	со стороны	2	28
19	так и	21	28
20	отличие от	7	28
21	но в	13	28
22	не может	40	27
23	в отличие	7	27
24	как в	5	25
25	еще не	7	23
26	отнюдь не	14	23
27	все же	13	19
28	прежде всего	19	19
29	в нем	17	19
30	в своей	5	19
31	в основе	10	18
32	далеко не	5	18
33	по отношению	10	17
34	в данном	8	17
35	то же	19	17
36	с другой	6	17
37	отношению к	9	17
38	точки зрения	48	16
39	только в	14	16
40	речевых жанров	2	15
41	в его	10	15
42	то что	12	15
43	о том	4	15
44	это не	5	14
45	или иной	8	14
46	не в	13	14
47	не менее	5	14
48	одной стороны	2	14
49	можно сказать	4	14
50	не является	11	14
51	ни к	3	14
52	с одной	2	14
53	в целом	2	13
54	речевого общения	11	13
55	для него	18	13
56	как бы	31	13
57	в своем	3	12
58	и все	8	12
59	того же	11	12
60	в своих	2	12
61	и на	8	12
62	что в	5	11
63	с его	6	11
64	и как	8	11
65	столь же	2	11
66	не было	6	11
67	для себя	4	10
68	а в	5	10
69	не столько	5	10
70	высказывания в	8	10
71	той или	5	10
72	и т.д	6	10
73	же время	7	10
74	в то	7	9
75	между тем	8	9
76	уже не	2	9
77	еще в	2	9
78	себя в	2	9
79	сводится к	5	9
80	человека в	3	8
81	этом отношении	4	8
82	к тому	8	8
83	потому что	2	8
84	не на	2	8
85	и даже	4	8
86	жизни в	5	8
87	в этих	2	8
88	не с	2	8
89	в котором	6	8
90	в одном	2	8
91	из них	3	8
92	совпадает с	3	8
93	он не	5	8
94	не следует	2	8
95	его в	7	7
96	могут быть	4	7
97	и ее	4	7
98	приводит к	3	7
99	одной из	5	7
100	и для	15	7
101	в процессе	31	7
102	что и	5	7
103	например в	2	7
104	в этой	3	7
105	другой стороны	7	7
106	к этому	10	7
107	лишь в	17	7
108	в пределах	7	7
109	ни в	7	7
110	в русской	3	7
111	той же	5	7
112	и его	33	7
113	таким образом	29	7
114	нового времени	2	7
115	тому же	2	7
116	никогда не	7	6
117	к его	4	6
118	в одной	4	6
119	не как	5	6
120	что он	5	6
121	не знает	4	6
122	в контексте	12	6
123	именно в	6	6
124	одного из	3	6
125	что же	5	6
