N	3gram	Bakhtin_Pr	Mirosoze
1	не может быть	8	28
2	в том что	6	9
3	в творчестве достоевского	5	8
4	о том что	2	6
5	и в нем	2	6
6	и в этом	5	6
7	записок из подполья	2	6
8	может быть и	2	5
9	до сих пор	9	5
10	в отношении к	3	5
11	по отношению к	12	4
12	в конце концов	7	4
13	на то что	2	4
14	может быть лишь	2	4
15	то время как	2	4
16	можно было бы	3	4
17	в то время	2	4
18	во всяком случае	4	3
19	том что он	5	3
20	но это не	2	3
21	для него не	2	3
22	как и в	3	3
23	же как и	2	3
24	как и все	4	3
25	потому что она	3	3
26	своей записной книжке	2	2
27	что она не	3	2
28	т е в	3	2
29	творчество достоевского в	2	2
30	как бы в	6	2
31	никогда не может	2	2
32	достоевский прежде всего	2	2
33	для него нет	2	2
34	в романах достоевского	6	2
35	между тем как	5	2
36	и в самой	2	2
37	подобно тому как	3	2
38	ивана карамазова и	3	2
39	из подполья и	3	2
40	в этом отношении	3	2
41	не только в	2	2
42	именно потому что	2	2
43	и не знает	2	2
44	хотя бы и	3	2
45	это не значит	3	2
46	в себе и	2	2
47	с самим собою	2	2
48	и не может	6	2
49	в своей записной	2	2
50	он не только	2	2
