N	3gram	Losev_Vesc	Problemy
1	то же время	4	26
2	в то же	5	26
3	с точки зрения	6	25
4	в этом смысле	2	16
5	с самим собою	2	14
6	не может быть	22	14
7	в конце концов	2	11
8	в отношении к	2	10
9	в самом деле	7	9
10	во всяком случае	2	9
11	с другой стороны	3	9
12	друг с другом	2	8
13	в том что	9	8
14	бы то ни	12	7
15	как раз и	2	7
16	и в то	3	7
17	сама по себе	7	7
18	и в этом	2	7
19	и т д	36	7
20	том что он	2	6
21	то ни было	12	6
22	по крайней мере	10	5
23	сам по себе	4	5
24	подобно тому как	5	5
25	хотя бы и	2	5
26	можно было бы	3	5
27	но все же	2	5
28	в той или	2	5
29	тем не менее	11	4
30	и не в	3	4
31	более или менее	4	4
32	о том что	4	4
33	само по себе	4	4
34	сами по себе	3	4
35	в этом отношении	2	4
36	все то что	2	3
37	и то же	5	3
38	именно тем что	3	3
39	в то время	4	3
40	то что я	2	3
41	в данном случае	2	3
42	на то что	7	3
43	все же не	3	3
44	одно и то	5	3
45	не только не	4	3
46	т е в	7	3
47	то время как	4	3
48	можно сказать что	3	3
49	вы говорите что	2	2
50	этой точки зрения	3	2
51	то что он	2	2
52	т е не	5	2
53	только то что	3	2
54	а не в	2	2
55	том или другом	2	2
56	не только в	5	2
57	к тому что	2	2
58	а затем и	2	2
59	а следовательно и	2	2
60	а так как	2	2
61	вместе с тем	3	2
62	дело в том	4	2
63	для того чтобы	2	2
64	как бы ни	2	2
65	внутреннего и внешнего	2	2
66	в том или	2	2
67	чего бы то	2	2
68	в свою очередь	5	2
