N	2gram	Tiupa_Hudo	OGranits
1	и в	34	13
2	и его	8	12
3	прежде всего	12	9
4	и не	15	8
5	не может	10	8
6	может быть	12	8
7	в его	17	7
8	точки зрения	7	7
9	и т.п	2	7
10	не только	22	6
11	как бы	11	6
12	только в	8	6
13	то что	13	6
14	и т.д	3	5
15	все же	5	5
16	с точки	5	5
17	и эта	3	5
18	но ведь	2	5
19	хотя бы	2	5
20	еще и	2	4
21	но в	6	4
22	лишь в	5	4
23	то же	14	4
24	но мы	2	4
25	в своей	15	4
26	все это	2	4
27	было бы	8	4
28	в двух	2	4
29	мы не	2	4
30	на фоне	5	4
31	никогда не	8	3
32	да и	5	3
33	и для	5	3
34	и то	2	3
35	со всей	2	3
36	и все	10	3
37	в ее	16	3
38	превращается в	6	3
39	с этим	3	3
40	отношению к	15	3
41	и уже	3	3
42	как и	16	3
43	в пределах	4	3
44	не в	16	3
45	в их	2	3
46	говорить о	4	3
47	так как	2	3
48	в себе	19	3
49	что в	8	3
50	по отношению	15	3
51	самом деле	6	3
52	так и	19	3
53	что же	4	3
54	в которой	2	3
55	не как	3	3
56	в одном	3	3
57	но и	13	3
58	не столько	4	3
59	в самом	7	2
60	своего рода	19	2
61	в этом	22	2
62	в них	3	2
63	для себя	9	2
64	данном случае	3	2
65	уже в	2	2
66	в том	24	2
67	тем что	6	2
68	несмотря на	7	2
69	в целом	2	2
70	если бы	7	2
71	от этого	2	2
72	с одной	4	2
73	не имеет	2	2
74	или иного	4	2
75	автора героя	2	2
76	всей своей	2	2
77	роль в	2	2
78	говорить об	2	2
79	во времени	2	2
80	в действительности	5	2
81	с другой	4	2
82	там где	2	2
83	а в	11	2
84	и тем	2	2
85	том что	31	2
86	того или	4	2
87	а как	2	2
88	а также	4	2
89	в г	3	2
90	и к	6	2
91	в связи	3	2
92	в данном	3	2
93	не менее	9	2
94	с ними	3	2
95	все эти	4	2
96	так же	3	2
97	от своего	2	2
98	что они	4	2
99	мы уже	7	2
100	героя и	5	2
101	нуждается в	2	2
102	с этой	3	2
103	в своих	4	2
104	в полном	2	2
105	в нем	5	2
106	при этом	21	2
107	и ее	3	2
108	нет ничего	4	2
109	а не	23	2
110	в ней	6	2
111	вслед за	3	2
112	еще в	4	2
113	как в	11	2
114	чем же	2	2
115	одной стороны	4	2
116	бы в	2	2
117	между тем	14	2
118	соответствии с	2	2
119	в другом	3	2
120	вовсе не	2	2
121	к тому	11	2
122	наконец в	2	2
123	для него	15	2
