N	2gram	Vygotskiy_	KFilosof
1	может быть	15	45
2	в его	15	42
3	в нем	10	32
4	не может	31	29
5	и не	18	28
6	и в	33	28
7	по отношению	19	26
8	в котором	2	24
9	отношению к	19	22
10	не есть	4	22
11	в себе	4	21
12	и его	6	18
13	только в	21	18
14	в своем	11	17
15	а не	14	17
16	в этом	43	15
17	не в	10	13
18	для него	9	13
19	точки зрения	27	13
20	но не	13	12
21	и это	3	12
22	к нему	4	12
23	в своей	5	11
24	во всех	3	11
25	все эти	9	11
26	это не	8	10
27	в целом	8	10
28	и для	3	10
29	все это	2	10
30	с точки	12	10
31	и есть	8	10
32	в их	4	9
33	но и	14	9
34	как бы	11	9
35	и все	2	9
36	себя в	4	8
37	если бы	13	8
38	со стороны	3	8
39	в единстве	2	8
40	жизни и	2	8
41	было бы	18	8
42	в себя	4	8
43	и здесь	2	7
44	совершенно не	5	7
45	то что	48	7
46	отнюдь не	2	7
47	и только	4	7
48	что и	11	7
49	во всем	2	7
50	вовсе не	2	7
51	на основе	6	7
52	этот момент	2	7
53	должно быть	10	6
54	отношение к	12	6
55	в том	44	6
56	но все	2	6
57	не имеет	7	6
58	в смысле	3	6
59	место в	2	6
60	и их	4	6
61	я не	6	6
62	но это	4	6
63	он не	13	6
64	никогда не	10	5
65	его в	6	5
66	все же	5	5
67	не только	28	5
68	мы имеем	4	5
69	но как	6	5
70	хотя бы	5	5
71	то же	12	5
72	еще не	11	5
73	не знает	6	5
74	а в	5	5
75	но в	9	5
76	как и	13	5
77	именно в	8	5
78	что я	4	5
79	в одном	3	5
80	там где	2	5
81	себя и	2	5
82	с ним	6	5
83	в основе	12	5
84	в каком	2	4
85	тем самым	13	4
86	том что	41	4
87	нисколько не	2	4
88	что в	33	4
89	не как	3	4
90	и т.д	6	4
91	быть в	3	4
92	прежде всего	5	4
93	в чем	10	4
94	к ним	2	4
95	для другого	4	4
96	в своих	5	4
97	с ними	4	4
98	при этом	9	4
99	из него	3	4
100	во всей	3	4
101	должна быть	7	4
102	как его	2	4
103	между тем	5	4
104	до конца	3	3
105	лежат в	3	3
106	ничего не	6	3
107	в то	5	3
108	на самом	3	3
109	от него	3	3
110	сознания и	3	3
111	в другом	7	3
112	от того	8	3
113	это и	3	3
114	тем что	12	3
115	и тем	5	3
116	нигде не	2	3
117	для того	20	3
118	в современной	3	3
119	в момент	4	3
120	самом деле	9	3
121	в виду	4	3
122	и тот	5	3
123	и единство	2	3
124	и отношения	3	3
125	в корне	2	3
126	по своему	4	3
127	не менее	4	3
128	независимо от	3	3
129	о том	13	3
130	в ней	2	3
131	в свою	5	3
132	могут быть	7	3
133	но для	3	3
134	этом смысле	5	3
135	тогда когда	10	3
136	теории и	4	3
137	и на	11	3
138	что не	2	3
139	того что	34	3
140	мы не	6	3
141	и может	4	3
142	и делает	2	3
143	один и	5	3
144	из его	2	3
145	тот же	7	3
146	не дает	2	3
147	ясно что	2	3
148	и то	9	2
149	для этого	3	2
150	и должен	2	2
151	мышления и	8	2
152	только по	4	2
153	и потому	3	2
154	различия в	2	2
155	научного мышления	3	2
156	в данном	4	2
157	его к	2	2
158	мышления как	2	2
159	или иным	2	2
160	его на	2	2
161	сознания в	3	2
162	говорить о	3	2
163	и ее	2	2
164	к этому	7	2
165	дело не	2	2
166	включает в	3	2
167	вопрос о	15	2
168	в определенной	4	2
169	из нее	5	2
170	а это	3	2
171	и как	7	2
172	если я	4	2
173	оба эти	5	2
174	в виде	3	2
175	и других	7	2
176	случае мы	2	2
177	бы оно	3	2
178	в области	19	2
179	а с	3	2
180	одного и	9	2
181	всякий предмет	2	2
182	этих предметов	2	2
183	что он	40	2
184	из которых	3	2
185	нами в	4	2
186	со всеми	2	2
187	так и	8	2
188	но этот	3	2
189	отношении к	2	2
190	его и	4	2
191	что только	3	2
192	может иметь	3	2
193	едва ли	2	2
194	в жизни	2	2
195	с тем	9	2
196	вытекает из	4	2
197	как в	7	2
198	этот факт	3	2
199	в сознании	5	2
200	тому что	14	2
201	она не	2	2
202	дело с	2	2
203	он может	5	2
204	на нем	2	2
205	еще более	5	2
206	ему в	2	2
207	оно не	2	2
208	не нужно	2	2
209	говорим о	2	2
210	мы говорим	4	2
211	он имеет	6	2
212	если не	3	2
213	чего не	2	2
214	в процессе	37	2
215	один из	4	2
216	по себе	8	2
217	потому что	40	2
218	действительно ли	3	2
219	раз и	3	2
220	может не	3	2
221	того чтобы	26	2
222	содержания и	2	2
223	и того	8	2
224	что эта	7	2
225	слова в	3	2
226	и эти	2	2
227	в качестве	13	2
228	ничего общего	6	2
229	это есть	5	2
230	этого слова	3	2
231	в этой	8	2
232	бы то	2	2
233	что значит	3	2
234	с его	3	2
