N	2gram	Medvedev_V	Analitik
1	не только	26	71
2	и в	26	66
3	в качестве	12	61
4	но и	10	57
5	в том	15	52
6	может быть	23	52
7	в частности	12	51
8	в этом	29	51
9	как и	7	50
10	и не	20	48
11	а не	7	42
12	том что	8	40
13	так и	6	35
14	не может	17	29
15	как бы	5	29
16	отнюдь не	4	29
17	а в	3	28
18	в его	15	27
19	и его	6	27
20	не в	6	26
21	но не	2	26
22	всего лишь	3	24
23	в себе	6	24
24	к тому	5	22
25	и даже	2	22
26	в этой	4	22
27	что в	11	22
28	лишь в	2	21
29	о том	10	20
30	по отношению	7	19
31	но в	2	19
32	в своей	4	19
33	то же	10	19
34	в самом	4	19
35	с его	4	19
36	в то	6	18
37	произведения в	7	18
38	отношению к	7	18
39	или иной	2	17
40	с другой	11	17
41	в целом	5	17
42	только в	8	17
43	могут быть	8	16
44	то что	7	16
45	в пределах	5	16
46	что и	3	16
47	в их	5	15
48	прежде всего	13	15
49	между тем	6	15
50	не менее	2	14
51	мы имеем	3	14
52	далеко не	3	14
53	же время	5	14
54	по себе	2	13
55	точки зрения	3	13
56	как раз	4	13
57	для него	9	13
58	он не	2	13
59	никогда не	5	12
60	и к	3	12
61	как это	12	12
62	произведения как	6	12
63	еще не	2	12
64	в конечном	7	12
65	сводится к	3	12
66	и сам	2	12
67	даже в	5	11
68	это не	7	11
69	конечном счете	5	11
70	и как	3	11
71	не с	2	11
72	можно сказать	4	11
73	не следует	8	11
74	в конце	3	10
75	все же	6	10
76	один из	6	10
77	было бы	8	10
78	того или	2	10
79	подобно тому	3	10
80	с одной	2	10
81	именно в	3	10
82	в своем	8	9
83	того что	3	9
84	не столько	2	9
85	одной стороны	2	9
86	крайней мере	2	9
87	по поводу	4	9
88	другой стороны	8	9
89	во всех	7	9
90	в результате	5	9
91	только не	2	9
92	по крайней	2	9
93	том чтобы	2	9
94	тому как	3	9
95	говорит о	7	9
96	говорить о	2	9
97	таким образом	32	9
98	вместе с	8	9
99	перед нами	5	8
100	о чем	2	8
101	роль в	4	8
102	не всегда	2	8
103	что он	4	8
104	одной из	2	8
105	этом отношении	14	8
106	хотя и	2	8
107	о его	2	8
108	если бы	3	8
109	не является	5	8
110	как известно	2	8
111	он и	2	8
112	вплоть до	2	7
113	в другом	2	7
114	как говорит	5	7
115	в году	7	7
116	в ее	4	7
117	все это	13	7
118	который в	2	7
119	во всяком	2	7
120	одна из	4	7
121	в противоположность	3	7
122	художественного произведения	6	7
123	и для	2	7
124	у него	6	7
125	приводит к	6	7
126	со своим	3	7
127	в одном	5	7
128	всяком случае	2	7
129	внимание на	2	7
130	его в	3	6
131	если в	2	6
132	что не	3	6
133	в силу	14	6
134	ли не	2	6
135	должен быть	4	6
136	в нем	7	6
137	или в	3	6
138	при всей	2	6
139	хотя бы	20	6
140	в сознании	4	6
141	из этих	7	6
142	же в	7	6
143	художественное произведение	7	6
144	на этом	2	6
145	из которых	2	6
146	из них	11	6
147	по его	2	6
148	вовсе не	3	6
149	не о	2	5
150	и потому	2	5
151	не могут	10	5
152	но как	3	5
153	а всего	3	5
154	в романе	4	5
155	на вопрос	2	5
156	в искусстве	6	5
157	в общем	2	5
158	он в	2	5
159	говорит и	8	5
160	в художественном	10	5
161	в них	5	5
162	а затем	2	5
163	и по	3	5
164	все эти	8	5
165	да и	2	5
166	к его	2	5
167	к этому	9	5
168	с другими	2	5
169	и он	3	5
170	мысль о	2	5
171	в особенности	2	5
172	как о	3	5
173	для того	3	5
174	и их	3	5
175	еще и	2	5
176	ни с	2	5
177	в котором	3	5
178	в слове	3	5
179	будто бы	2	5
180	что мы	2	5
181	данного произведения	3	5
182	все они	2	4
183	а вот	3	4
184	и ее	4	4
185	в области	2	4
186	вслед за	3	4
187	в каждом	2	4
188	одним из	5	4
189	в стихотворении	2	4
190	а как	2	4
191	как он	3	4
192	как у	2	4
193	его от	2	4
194	или меньшей	3	4
195	в чем	2	4
196	его не	3	4
197	с ними	4	4
198	того чтобы	3	4
199	различного рода	4	4
200	и т	25	4
201	удивительно что	3	4
202	бы и	6	4
203	сказать что	5	4
204	и от	3	4
205	с этим	3	4
206	что она	2	4
207	бы в	3	4
208	в которой	2	4
209	о своем	2	4
210	из своих	2	4
211	отличается от	2	4
212	об этом	9	4
213	на него	2	4
214	не удивительно	4	4
215	человека в	2	4
216	в значительной	3	4
217	ее в	4	4
218	между ними	3	4
219	к а	2	4
220	в своих	2	4
221	большей или	3	4
222	не было	7	4
223	бы не	2	4
224	это и	6	4
225	и есть	5	4
226	на основе	5	4
227	очевидно что	7	3
228	которые в	2	3
229	человека и	3	3
230	он же	6	3
231	видеть в	3	3
232	в виду	4	3
233	т п	9	3
234	с тем	4	3
235	красного и	2	3
236	она не	3	3
237	в творческом	3	3
238	том числе	2	3
239	мира и	3	3
240	в ней	2	3
241	у пушкина	2	3
242	и заключается	2	3
243	что все	4	3
244	в зависимости	6	3
245	заключается в	2	3
246	связи с	5	3
247	в связи	4	3
248	что они	3	3
249	во время	4	3
250	из его	4	3
251	произведения не	2	3
252	никак не	3	3
253	например в	3	3
254	так сказать	2	3
