N	3gram	Bakhtin_Fr	Analitik
1	в том что	6	25
2	не может быть	5	19
3	по отношению к	2	18
4	в то же	5	16
5	о том что	3	15
6	той или иной	5	14
7	то же время	5	14
8	в отличие от	4	14
9	так и не	3	10
10	подобно тому как	2	9
11	с одной стороны	2	9
12	в этом отношении	5	8
13	не только в	5	8
14	с точки зрения	6	8
15	во всяком случае	2	7
16	в свое время	5	7
17	но и в	5	5
18	в той или	5	5
19	до известной степени	2	4
20	большей или меньшей	7	4
21	для того чтобы	2	4
22	в основе своей	2	4
23	и не может	2	4
24	в значительной степени	4	4
25	то есть в	5	3
26	как раз и	2	3
27	содержит в себе	2	3
28	не могут быть	2	3
29	в том числе	10	3
30	можно сказать что	3	3
31	включает в себя	3	3
32	дело в том	2	3
33	так и его	2	2
34	в применении к	3	2
35	на этот вопрос	2	2
36	при этом что	2	2
37	так и на	3	2
38	в отрыве от	2	2
39	но в то	2	2
40	друг с другом	2	2
41	до сих пор	7	2
42	и прежде всего	4	2
