N	3gram	Bakhtin_Fr	Marksizm
1	с точки зрения	5	46
2	не может быть	4	25
3	в самом деле	2	19
4	в то же	14	15
5	то же время	14	15
6	в связи с	5	14
7	в том что	8	14
8	для того чтобы	8	11
9	до сих пор	3	11
10	с самого начала	3	10
11	в отличие от	3	10
12	но в то	6	9
13	в большинстве случаев	5	9
14	то же самое	3	8
15	с другой стороны	2	7
16	на самом деле	4	6
17	с одной стороны	2	6
18	как мы уже	6	6
19	как мы видели	4	5
20	и как бы	2	5
21	в этом отношении	7	5
22	на самом же	4	5
23	самом же деле	4	5
24	и прежде всего	4	4
25	в первом случае	3	4
26	можно сказать что	4	4
27	о том что	5	4
28	как мы сказали	2	4
29	и не в	2	3
30	и т.п в	2	3
31	более или менее	2	3
32	на первый план	3	3
33	и тот же	2	3
34	друг с другом	2	3
35	в том числе	6	3
36	можно было бы	2	3
37	но и в	3	3
38	том числе и	3	3
39	связи с этим	3	3
40	до известной степени	4	2
41	же как и	2	2
42	характерно что в	2	2
43	в чем же	3	2
44	таким образом в	3	2
45	так же как	4	2
46	в данном случае	4	2
47	мы видели как	2	2
48	между тем как	2	2
49	хотя бы в	2	2
50	мы видели что	2	2
51	является одним из	2	2
52	к тому же	3	2
53	происходит как бы	2	2
54	как и все	5	2
55	это и есть	2	2
