N	3gram	Ircho_Kome	EvropaiC
1	в том что	15	16
2	до сих пор	12	15
3	по отношению к	4	11
4	друг с другом	3	9
5	более или менее	2	8
6	с точки зрения	6	8
7	для того чтобы	8	7
8	сих пор не	2	5
9	так или иначе	3	5
10	по сравнению с	3	5
11	в самом деле	13	5
12	к тому же	9	5
13	тем не менее	3	4
14	с другой стороны	2	4
15	в конце концов	3	4
16	в этом случае	2	4
17	о том что	7	4
18	то ни было	3	3
19	вместе с тем	5	3
20	бы то ни	3	3
21	в том же	2	3
22	в связи с	3	3
23	из того же	2	2
24	с одной стороны	4	2
25	во всяком случае	3	2
26	как бы то	2	2
27	но все же	3	2
28	в то время	3	2
29	о том чтобы	3	2
30	то же время	11	2
31	в высшей степени	2	2
32	в то же	11	2
33	именно потому что	2	2
34	в свою очередь	10	2
