N	2gram	Nazirov_Vr	KFilosof
1	может быть	4	45
2	в его	3	42
3	в нем	6	32
4	не может	2	29
5	и не	5	28
6	и в	8	28
7	в котором	6	24
8	в себе	2	21
9	и его	3	18
10	в своем	3	17
11	в этом	8	15
12	для него	2	13
13	точки зрения	2	13
14	и это	2	12
15	в своей	2	11
16	это не	4	10
17	все это	4	10
18	с точки	2	10
19	но и	7	9
20	как бы	4	9
21	и все	7	9
22	не было	5	8
23	в мире	2	8
24	то что	7	7
25	уже не	2	7
26	отнюдь не	2	7
27	на основе	2	7
28	этот момент	2	7
29	отношение к	2	6
30	в том	3	6
31	ко мне	2	6
32	место в	2	6
33	я не	3	6
34	но это	2	6
35	он не	3	6
36	никогда не	2	5
37	его в	3	5
38	все же	6	5
39	не только	9	5
40	но как	2	5
41	то же	5	5
42	еще не	2	5
43	а в	2	5
44	но в	6	5
45	как и	6	5
46	что я	2	5
47	время и	2	5
48	с ним	4	5
49	том что	3	4
50	что в	7	4
51	меня но	2	4
52	о нем	6	4
53	в чем	3	4
54	к ним	2	4
55	в своих	4	4
56	для нас	4	4
57	при этом	4	4
58	между тем	5	4
59	в то	5	3
60	тем что	3	3
61	в момент	2	3
62	в виду	4	3
63	не менее	2	3
64	о том	4	3
65	в ней	4	3
66	в свою	2	3
67	меня как	2	3
68	рядом с	2	3
69	и то	2	2
70	его с	2	2
71	его на	2	2
72	и ее	2	2
73	к этому	3	2
74	в это	2	2
75	к себе	2	2
76	и как	3	2
77	а с	2	2
78	что он	4	2
79	его и	2	2
80	что есть	3	2
81	в него	2	2
82	же время	5	2
83	в этой	2	2
84	с его	3	2
