N	2gram	Losev_Prob	Formalny
1	и в	62	95
2	и не	56	78
3	может быть	39	66
4	в этом	25	61
5	не может	14	57
6	вовсе не	62	53
7	таким образом	13	52
8	и его	12	51
9	так и	16	50
10	точки зрения	14	47
11	в нем	13	42
12	в его	10	42
13	прежде всего	13	41
14	с точки	9	40
15	как и	15	39
16	и т	20	37
17	художественного произведения	14	36
18	не в	21	35
19	в самом	4	35
20	в процессе	2	34
21	а не	28	34
22	но и	20	33
23	то же	23	32
24	самом деле	6	32
25	не только	33	30
26	в пределах	3	28
27	в том	35	26
28	отнюдь не	16	26
29	если бы	9	26
30	то что	42	25
31	на самом	13	24
32	при этом	9	24
33	в своей	8	24
34	в ней	12	23
35	связи с	10	23
36	было бы	14	23
37	в то	18	22
38	и ее	7	22
39	в истории	4	21
40	как бы	11	21
41	что в	11	21
42	и с	11	21
43	в их	2	20
44	не менее	24	20
45	и от	11	20
46	с тем	9	20
47	входит в	3	20
48	как мы	12	20
49	все это	9	19
50	хотя бы	6	19
51	т д	20	19
52	художественное произведение	9	19
53	по себе	36	19
54	все же	10	18
55	и все	13	18
56	все эти	14	18
57	в связи	9	18
58	только в	33	18
59	произведения в	2	17
60	как в	10	17
61	как раз	11	17
62	так же	11	16
63	в искусстве	4	16
64	во всяком	14	16
65	совершенно не	7	16
66	с другой	14	16
67	потому что	40	16
68	всяком случае	8	16
69	его в	4	15
70	все время	2	15
71	но в	17	15
72	бы в	3	15
73	с другими	6	15
74	так как	14	15
75	во всех	4	15
76	в литературе	3	15
77	именно в	4	15
78	и на	4	15
79	что он	16	14
80	только на	6	14
81	в целом	9	14
82	языка и	4	14
83	в ее	6	14
84	в своем	7	14
85	еще не	12	14
86	в этой	10	14
87	если мы	24	14
88	и потому	13	14
89	произведения и	2	14
90	жизни и	7	14
91	вместе с	3	14
92	в настоящее	4	13
93	настоящее время	4	13
94	того что	10	13
95	а в	9	13
96	что же	9	13
97	могут быть	2	13
98	для них	4	13
99	что и	11	13
100	независимо от	4	13
101	в результате	8	13
102	она не	3	13
103	тем что	8	13
104	ни в	17	13
105	как таковой	2	13
106	как это	4	12
107	того чтобы	4	12
108	и здесь	8	12
109	к тому	4	12
110	и для	5	12
111	уже не	12	12
112	никогда не	7	11
113	это и	11	11
114	в основе	3	11
115	но не	6	11
116	то ни	7	11
117	слова и	3	11
