N	2gram	Berdyaev_O	formyVre
1	и в	19	148
2	в этом	12	73
3	в нем	10	51
4	прежде всего	9	46
5	и не	13	37
6	в его	7	36
7	и его	4	36
8	но и	13	33
9	не только	11	32
10	но в	2	31
11	так и	2	29
12	может быть	11	27
13	не в	11	26
14	как и	6	25
15	как бы	3	25
16	человека в	11	23
17	то что	5	22
18	в том	5	22
19	жизни в	2	21
20	все эти	4	21
21	в своем	2	19
22	и для	2	19
23	и на	2	19
24	у него	22	18
25	и все	10	18
26	еще не	3	18
27	человека и	10	17
28	так как	2	17
29	все же	2	16
30	не может	4	16
31	никогда не	9	15
32	лишь в	7	15
33	с его	4	15
34	все это	6	14
35	и с	2	14
36	а не	11	14
37	а в	5	13
38	того чтобы	4	13
39	для того	3	13
40	в самом	5	13
41	с ним	3	13
42	ничего не	2	12
43	в истории	2	12
44	не было	9	12
45	потому что	9	12
46	он не	7	12
47	что в	4	12
48	его в	2	11
49	хотя и	2	11
50	уже в	2	11
51	этом мире	2	10
52	в ее	2	10
53	могут быть	3	9
54	всего в	2	9
55	в других	2	9
56	том что	2	9
57	должно быть	2	9
58	для него	5	9
59	в самой	9	9
60	до конца	7	8
61	это не	3	8
62	и потому	2	8
63	отношение к	5	8
64	что и	2	8
65	и то	2	8
66	в этот	2	8
67	образ человека	2	8
68	в этих	3	8
69	и к	2	8
70	в себе	3	7
71	того что	3	7
72	было бы	3	7
73	к этому	2	7
74	и он	8	7
75	в которой	2	7
76	этого мира	2	7
77	ее в	2	7
78	нет ничего	7	7
79	в романах	4	7
80	но он	7	7
81	не могут	3	6
82	и ее	3	6
83	своей жизни	2	6
84	с тем	2	6
85	сказать что	2	6
86	только и	4	6
87	о том	3	6
88	раскрывается в	5	6
89	все что	3	6
90	так что	2	5
91	и ни	2	5
92	одно из	2	5
93	что все	2	5
94	что они	2	5
95	в этой	5	5
96	и от	3	5
97	хотя бы	3	5
98	в своей	2	5
99	тем что	2	5
100	не имеет	2	5
101	человек был	3	4
102	от него	7	4
103	по себе	2	4
104	в другом	2	4
105	что он	3	4
106	и о	2	4
107	что не	4	4
108	у достоевского	19	4
109	совсем не	2	4
110	он был	8	4
111	нем нет	3	4
112	и вот	3	4
113	человеческой природы	20	4
114	в своих	3	4
115	момент в	2	4
116	природы и	2	4
117	все в	4	4
118	чем в	2	4
119	вопрос о	10	3
120	жизни все	3	3
121	ни с	7	3
122	он весь	2	3
123	не могли	2	3
124	это было	3	3
125	к ней	2	3
126	на земле	4	3
127	что есть	2	3
128	их не	2	3
129	в творчестве	5	3
130	человек не	7	3
131	и есть	3	3
132	с чем	2	2
133	человек и	4	2
134	в человеке	9	2
135	ведь это	2	2
136	он всегда	7	2
137	его не	2	2
138	и очень	2	2
139	к нему	3	2
140	природы в	2	2
141	с которой	2	2
142	и против	2	2
143	в уста	2	2
144	о его	5	2
145	человека о	2	2
146	никто не	3	2
147	и нет	2	2
148	достоевского в	3	2
149	что у	2	2
150	личности и	2	2
151	и этим	2	2
152	в человеческом	2	2
153	он сам	4	2
154	него и	4	2
