N	2gram	Berdyaev_O	Literetu
1	а не	11	50
2	и не	13	47
3	не только	11	46
4	и в	19	44
5	может быть	11	43
6	но и	13	41
7	в том	5	39
8	в этом	12	38
9	том что	2	32
10	то что	5	29
11	как и	6	23
12	не в	11	22
13	так и	2	22
14	того что	3	22
15	не может	4	22
16	в себе	3	20
17	прежде всего	9	19
18	как бы	3	18
19	в его	7	17
20	в этой	5	16
21	в русской	3	15
22	что он	3	14
23	в своем	2	13
24	и его	4	13
25	в своей	2	12
26	еще не	3	12
27	о том	3	12
28	никогда не	9	11
29	это не	3	11
30	в другом	2	11
31	с его	4	11
32	а в	5	11
33	что в	4	10
34	в ее	2	10
35	жизни в	2	10
36	и на	2	10
37	потому что	9	10
38	одно из	2	9
39	лишь в	7	9
40	быть может	3	8
41	все же	2	8
42	но в	2	8
43	уже в	2	8
44	что не	4	8
45	для него	5	8
46	тем что	2	8
47	в своих	3	8
48	до конца	7	7
49	и для	2	7
50	человека в	11	7
51	в самом	5	7
52	и с	2	7
53	в нем	10	7
54	он не	7	7
55	его в	2	6
56	и он	8	6
57	было бы	3	6
58	не было	9	6
59	и то	2	6
60	у него	22	6
61	так как	2	5
62	так что	2	5
63	он сам	4	5
64	всего в	2	5
65	к этой	2	5
66	что и	2	5
67	все еще	2	5
68	хотя бы	3	5
69	в россии	5	5
70	должно быть	2	5
71	во имя	3	5
72	человеческого духа	3	5
73	и к	2	5
74	как к	2	4
75	с тем	2	4
76	и все	10	4
77	могут быть	3	4
78	хотя и	2	4
79	нет ничего	7	4
80	к этому	2	4
81	и вот	3	4
82	от самого	2	4
83	для того	3	4
84	него не	2	4
85	в единстве	2	4
86	и есть	3	4
87	о которой	2	4
88	и нет	2	4
89	вопрос о	10	3
90	ничего не	2	3
91	и потому	2	3
92	различие между	3	3
93	с чем	2	3
94	по себе	2	3
95	свободы и	2	3
96	отношение к	5	3
97	своей жизни	2	3
98	и о	2	3
99	в душе	2	3
100	что же	2	3
101	того чтобы	4	3
102	все эти	4	3
103	он был	8	3
104	в истории	2	3
105	ее в	2	3
106	и от	3	3
107	же это	2	3
108	мысли и	3	3
109	в этот	2	3
110	мысль о	2	3
111	в этих	3	3
112	что для	2	3
113	ни с	7	3
114	не имеет	2	3
115	он в	2	3
116	в творчестве	5	3
117	когда он	3	3
118	не есть	2	3
119	все что	3	3
120	в глубине	7	3
121	с ним	3	3
122	у достоевского	19	2
123	от него	7	2
124	человека и	10	2
125	ведь это	2	2
126	к человеку	9	2
127	о природе	3	2
128	его не	2	2
129	к нему	3	2
130	свобода и	2	2
131	даже и	2	2
132	с которой	2	2
133	что они	2	2
134	и ее	3	2
135	человек и	4	2
136	сказать что	2	2
137	человека а	2	2
138	человеческой личности	6	2
139	него в	5	2
140	ничего кроме	2	2
141	что есть	2	2
142	есть лишь	4	2
143	что у	2	2
144	их не	2	2
145	у кого	2	2
146	но он	7	2
