N	2gram	Losev_Prob	NovoeSre
1	а не	7	17
2	и в	48	16
3	не может	6	16
4	совсем не	4	12
5	нового времени	4	12
6	и не	29	11
7	и есть	4	10
8	в эпоху	5	9
9	что в	12	9
10	жизни и	7	8
11	в том	25	8
12	он не	4	8
13	не будет	4	7
14	может быть	11	7
15	как и	10	7
16	в новой	3	7
17	в этом	31	7
18	это есть	2	7
19	никогда не	7	6
20	ни в	17	6
21	не в	16	6
22	но это	7	6
23	с его	3	6
24	не только	28	5
25	в жизни	4	5
26	должен быть	2	5
27	все это	8	5
28	в нем	8	5
29	в ней	4	5
30	и к	9	5
31	по своему	3	4
32	в них	5	4
33	и для	11	4
34	не имеет	3	4
35	прежде всего	15	4
36	не менее	8	4
37	не было	4	4
38	и потому	4	4
39	то что	26	4
40	о том	17	4
41	новое время	3	4
42	это не	8	4
43	потому что	21	4
44	и все	12	4
45	значит что	3	4
46	смысле слова	12	3
47	но и	21	3
48	с другой	8	3
49	в ее	6	3
50	духа и	2	3
51	к тому	7	3
52	к преодолению	2	3
53	в россии	2	3
54	жизни в	7	3
55	в своей	29	3
56	еще не	4	3
57	к ним	3	3
58	человека и	4	3
59	перейти к	3	3
60	в новое	3	3
61	как в	3	3
62	конечно не	2	3
63	не есть	3	3
64	в духе	4	3
65	сказать что	13	3
66	во всех	2	3
67	вопрос о	2	3
68	это было	2	3
69	наряду с	2	3
70	с тем	7	3
71	время как	4	2
72	в себе	7	2
73	что она	2	2
74	как будто	9	2
75	и с	10	2
76	том чтобы	3	2
77	для этого	2	2
78	но не	12	2
79	духа в	2	2
80	нет и	3	2
81	и от	7	2
82	не могли	2	2
83	того чтобы	3	2
84	и это	3	2
85	хотя бы	11	2
86	и весь	2	2
87	свободы и	4	2
88	а в	8	2
89	все время	5	2
90	но в	17	2
91	том что	29	2
92	не к	3	2
93	мысли в	2	2
94	мир и	2	2
95	можно назвать	2	2
96	и на	9	2
97	с этим	3	2
98	есть в	6	2
99	и что	9	2
100	все эти	12	2
101	мы не	7	2
102	на путях	2	2
103	в смысле	8	2
104	можно было	4	2
105	в свои	2	2
106	это и	4	2
107	в мировой	3	2
108	мира и	5	2
109	у него	13	2
110	равно как	2	2
111	уже не	12	2
112	этот мир	3	2
113	по существу	2	2
114	как это	5	2
115	другой стороны	8	2
116	так же	7	2
117	так и	15	2
118	ни к	2	2
119	такого рода	4	2
120	могут быть	2	2
121	силы и	2	2
122	но для	2	2
123	одной стороны	5	2
124	в то	6	2
125	который в	10	2
126	хотя и	10	2
127	этом смысле	4	2
128	с одной	5	2
129	еще до	2	2
130	но я	2	2
131	и даже	24	2
132	истинного бога	2	2
133	вместе с	15	2
134	я не	3	2
