N	2gram	Voloshinov	Morfolog
1	может быть	50	61
2	и пр	31	45
3	таким образом	29	26
4	могут быть	4	21
5	так как	5	20
6	не может	40	19
7	в этом	27	18
8	в этих	2	17
9	и в	32	17
10	и не	42	16
11	мы видим	2	15
12	с этим	6	14
13	прежде всего	19	14
14	и др	3	12
15	связи с	22	12
16	а не	15	11
17	вопрос о	6	10
18	но если	2	10
19	мы увидим	3	10
20	то же	19	10
21	в том	13	10
22	то что	12	10
23	так и	21	10
24	что в	5	10
25	что и	5	10
26	в связи	12	10
27	этом случае	3	10
28	все же	13	9
29	но и	17	9
30	с другой	6	9
31	не только	18	8
32	в результате	9	8
33	но не	2	8
34	а в	5	8
35	мы не	6	8
36	в качестве	4	8
37	как мы	26	8
38	не могут	4	7
39	том что	12	7
40	по отношению	10	7
41	тем не	3	7
42	или же	2	7
43	не менее	5	7
44	отношению к	9	7
45	как это	2	7
46	и здесь	9	7
47	точки зрения	48	7
48	во втором	2	7
49	потому что	2	7
50	это не	5	6
51	не все	3	6
52	во всех	13	6
53	и как	8	6
54	или в	4	6
55	во время	2	6
56	и другие	2	6
57	в нашем	4	6
58	о том	4	6
59	если мы	17	6
60	с точки	31	6
61	в форме	3	6
62	как бы	31	6
63	вовсе не	15	6
64	одна из	6	5
65	ничего не	9	5
66	они и	3	5
67	и ее	4	5
68	хотя бы	8	5
69	не будем	4	5
70	мы можем	6	5
71	было бы	8	5
72	то мы	4	5
73	со стороны	2	5
74	что он	5	5
75	как в	5	5
76	далеко не	5	5
77	тому что	6	5
78	к тому	8	5
79	из которых	2	5
80	между тем	8	5
81	в целом	2	5
82	главным образом	2	5
83	другой стороны	7	5
84	между собой	3	5
85	там где	4	5
86	все эти	8	5
87	он не	5	5
88	в первом	3	5
89	если же	2	5
90	учение о	3	5
91	этот момент	2	5
92	ясно что	6	5
93	сказать что	7	4
94	на самом	10	4
95	его в	7	4
96	независимо от	3	4
97	так же	10	4
98	в то	7	4
99	можно было	2	4
100	к этому	10	4
101	нами в	4	4
102	тем что	3	4
103	не является	11	4
104	еще не	7	4
105	могла бы	2	4
106	самом деле	18	4
107	из них	3	4
108	но в	13	4
109	но все	4	4
110	и для	15	4
111	следующим образом	2	4
112	этой школы	3	4
113	как и	19	4
114	оно может	6	4
115	входит в	5	4
116	уже не	2	4
117	этот вопрос	5	4
118	и к	3	4
119	смысле слова	4	4
120	того чтобы	9	4
121	говорить о	2	4
122	от того	4	4
123	мы уже	7	4
124	первом случае	3	3
125	как же	5	3
126	то в	3	3
127	мы должны	4	3
128	но как	3	3
129	здесь не	2	3
130	в настоящее	6	3
131	в которой	4	3
132	пр и	5	3
133	в собственном	2	3
134	то ни	12	3
135	это было	2	3
136	что это	3	3
137	и их	2	3
138	целый ряд	3	3
139	друг друга	10	3
140	только что	2	3
141	если бы	12	3
142	может существовать	2	3
143	не значит	2	3
144	это и	3	3
145	на первый	2	3
146	кроме того	7	3
147	связана с	4	3
148	и тем	4	3
149	не в	13	3
150	для того	8	3
151	и при	3	3
152	с этой	2	3
153	у нас	4	3
154	собственном смысле	2	3
155	в пределах	7	3
156	в какой	5	3
157	того что	5	3
158	приводит к	3	3
159	здесь мы	7	3
160	так например	2	3
161	ее в	2	3
162	к нему	5	3
163	они не	2	3
164	на то	4	3
165	ни в	7	3
166	что такое	3	3
167	в большинстве	7	3
168	благодаря этому	2	3
169	но для	4	3
170	настоящее время	6	3
171	не существует	6	3
172	большинстве случаев	7	3
173	и вне	3	3
174	здесь же	2	3
175	совсем не	2	3
176	в начале	7	3
177	можно назвать	2	3
178	и что	2	3
179	и тогда	2	3
180	и его	33	3
181	только в	14	3
182	в сущности	17	3
183	и есть	3	3
184	и только	2	3
185	значение и	3	3
186	в этой	3	3
187	бы то	11	3
188	с его	6	3
189	в каком	6	2
190	нашей работы	5	2
191	мы постараемся	3	2
192	себя в	2	2
193	и иных	3	2
194	в данном	8	2
195	иные формы	2	2
196	мы пока	2	2
197	ощущается как	2	2
198	из этих	3	2
199	от него	4	2
200	одной стороны	2	2
201	к другой	3	2
202	бы в	4	2
203	ответ на	3	2
204	иное как	2	2
205	не что	2	2
206	в другом	5	2
207	нашу задачу	3	2
208	и даже	4	2
209	и тот	4	2
210	или менее	3	2
211	является в	5	2
212	иногда и	3	2
213	лишь на	6	2
214	в данной	5	2
215	превращается в	2	2
216	этом отношении	4	2
217	не на	2	2
218	в частности	2	2
219	ни было	15	2
220	одним из	4	2
221	его и	3	2
222	это положение	2	2
223	ни к	3	2
224	в чем	2	2
225	не знает	4	2
226	с одной	2	2
227	всех других	3	2
228	должна быть	6	2
229	но вот	2	2
230	и более	6	2
231	совершается в	5	2
232	не с	2	2
233	одной из	5	2
234	на этот	3	2
235	без всякой	2	2
236	не так	2	2
237	и этот	2	2
238	не имеет	6	2
239	вообще не	2	2
240	она не	2	2
241	о происхождении	2	2
242	он может	3	2
243	более или	3	2
244	ни одной	2	2
245	могли бы	2	2
246	в своих	2	2
247	ту же	2	2
248	быть и	9	2
249	бы они	2	2
250	но они	2	2
251	же они	2	2
252	это так	2	2
253	с другими	6	2
254	если он	2	2
255	что же	5	2
256	или вообще	2	2
257	в одной	4	2
258	всяком случае	4	2
259	как они	2	2
260	должны быть	4	2
261	к другому	7	2
262	то как	2	2
263	себя и	2	2
264	все это	4	2
265	лишь с	6	2
266	к целому	4	2
267	в основе	10	2
268	у него	2	2
269	эти формы	3	2
270	например в	2	2
271	можно сказать	4	2
272	в совершенно	2	2
273	момент в	3	2
274	для него	18	2
275	в одном	2	2
276	во всяком	8	2
277	тем же	4	2
