N	3gram	Tiupa_Hudo	Tvorches
1	в то же	11	25
2	то же время	11	24
3	и т д	5	17
4	м м бахтин	2	12
5	в том что	15	11
6	о том что	14	8
7	по сути дела	2	7
8	и в то	2	7
9	но в то	3	6
10	в конечном счете	4	6
11	не может быть	5	6
12	и т п	10	5
13	в русской литературе	3	5
14	по отношению к	15	5
15	в самом деле	5	5
16	на наш взгляд	6	4
17	это прежде всего	2	4
18	с точки зрения	5	4
19	до сих пор	3	4
20	как и в	5	3
21	том что в	4	3
22	в этой связи	5	3
23	что он не	3	2
24	но при этом	3	2
25	не только для	2	2
26	тем не менее	6	2
27	не только в	4	2
28	для того чтобы	2	2
29	л н толстого	4	2
30	содержит в себе	2	2
31	и с тургенева	3	2
32	в связи с	3	2
33	в первую очередь	2	2
34	так же как	2	2
35	в данном случае	3	2
36	и в самом	4	2
37	все же не	2	2
38	что у него	2	2
39	мы узнаем что	2	2
