N	3gram	Losev_Vlad	Tvorches
1	в то же	7	25
2	то же время	7	24
3	и т д	3	17
4	там же с	19	12
5	в том что	13	11
6	о том что	9	8
7	и в то	3	7
8	но в то	2	6
9	не может быть	4	6
10	в том же	3	5
11	дело в том	7	4
12	в году он	5	3
13	в году в	3	3
14	и все же	2	3
15	точно так же	2	3
16	том что в	3	3
17	хотя и не	2	3
18	с другой стороны	3	3
19	во всяком случае	8	3
20	что он не	3	2
21	марта года в	2	2
22	у него в	2	2
23	тем не менее	8	2
24	и в конце	2	2
25	не только в	3	2
26	от декабря года	4	2
27	для того чтобы	3	2
28	л н толстого	2	2
29	можно сказать что	3	2
30	в году и	2	2
31	в тот же	2	2
32	и в году	3	2
33	не то что	2	2
34	в связи с	7	2
35	так как он	2	2
36	вместе с тем	2	2
37	в конце концов	6	2
38	но это не	2	2
39	письма т ii	5	2
40	т ii с	5	2
41	на первом плане	2	2
42	к тому же	3	2
43	что у него	2	2
44	в свою очередь	2	2
